Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.00091,2.473e-09,0.000689
0.001163,1.179e-08,0.0007108
0.001486,2.963e-08,0.000738
0.001898,5.107e-08,0.0007702
0.002426,7.471e-08,0.0008048
0.003099,9.571e-08,0.0008325
0.00396,1.064e-07,0.0008392
0.00506,9.735e-08,0.0008073
0.006466,5.674e-08,0.0007147
0.008262,2.606e-08,0.0005412
0.01056,1.156e-07,0.0003481
0.01349,1.856e-07,0.0001805
0.01724,2.706e-07,2.661e-05
0.02202,3.723e-07,0.0002798
0.02814,4.911e-07,0.0005851
0.03595,6.251e-07,0.000946
0.04594,7.678e-07,0.001361
0.0587,9.053e-07,0.001819
0.07501,1.011e-06,0.002292
0.09584,1.038e-06,0.002726
0.1225,9.111e-07,0.003029
0.1565,5.136e-07,0.003062
0.1999,3.176e-07,0.002643
0.2555,1.78e-06,0.001597
0.3264,4.04e-06,0.000747
0.4171,6.854e-06,0.001337
0.5329,1.028e-05,0.001546
0.681,1.444e-05,0.00179
0.8701,1.901e-05,0.002098
1.112,2.488e-05,0.002517
1.421,3.538e-05,0.003128
1.815,5.97e-05,0.004019
2.319,0.000113,0.005298
2.963,0.0002115,0.00706
3.787,0.0003667,0.009361
4.838,0.0006119,0.01231
6.182,0.001013,0.01609
7.899,0.001673,0.02097
10.09,0.002732,0.0273
12.9,0.004423,0.03549
16.48,0.007105,0.04606
21.06,0.01135,0.05952
26.9,0.01818,0.07636
34.38,0.02957,0.097
43.93,0.049,0.1217
56.13,0.0816,0.1504
71.72,0.1342,0.1828
91.63,0.2127,0.2181
117.1,0.3163,0.2546
149.6,0.4387,0.2933
