Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,1.38
7.94,0,1
6.31,0.032,0.53
5.01,0.0643,0.427
3.98,0.184,0.349
3.16,0.218,0.315
2.51,0.244,0.27
2,0.163,0.265
1.58,0.217,0.226
1.26,0.231,0.235
1,0.183,0.199
0.794,0.172,0.176
0.631,0.154,0.157
0.501,0.139,0.142
0.398,0.122,0.128
0.316,0.106,0.114
0.251,0.0924,0.102
0.2,0.0794,0.0905
0.158,0.0683,0.0801
0.126,0.0577,0.0706
0.1,0.048,0.0622
0.0794,0.0396,0.0549
0.0631,0.0336,0.0487
0.0501,0.0271,0.0434
0.0398,0.022,0.0382
0.0316,0.0177,0.0331
0.0251,0.0141,0.0283
0.02,0.0109,0.0242
0.0158,0.00936,0.0209
0.0126,0.00746,0.0175
0.01,0.00835,0.0163
