Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,7.02
7.94,0.487,0.713
6.31,0.0983,0.505
5.01,0.229,0.388
3.98,0.24,0.322
3.16,0.195,0.274
2.51,0.194,0.244
2,0.181,0.217
1.58,0.163,0.198
1.26,0.138,0.18
1,0.121,0.145
0.794,0.108,0.132
0.631,0.0949,0.119
0.501,0.082,0.107
0.398,0.0706,0.0927
0.316,0.0602,0.0817
0.251,0.0505,0.0716
0.2,0.042,0.0625
0.158,0.0345,0.0544
0.126,0.0285,0.0468
0.1,0.0229,0.0405
0.0794,0.0182,0.035
0.0631,0.0142,0.0299
0.0501,0.0109,0.0254
0.0398,0.00814,0.0214
0.0316,0.00608,0.0179
0.0251,0.00442,0.0149
0.02,0.00317,0.0123
0.0158,0.00229,0.0101
0.0126,0.00159,0.00827
0.01,0.00112,0.00673
