run ,run_particle,frame_rate [fps],particle_type
1,1,140,S_3
2,2,140,S_3
3,3,140,S_3
4,4,140,S_3
5,5,140,S_3
6,6,140,S_3
7,7,140,S_3
8,8,140,S_3
9,1,50,S_1.5
10,2,50,S_1.5
11,3,50,S_1.5
12,4,50,S_1.5
13,5,50,S_1.5
14,6,50,S_1.5
15,1,30,D_3
16,2,30,D_3
17,3,20,D_3
18,4,20,D_3
19,5,20,D_3
20,1,15,D_2.5
21,2,15,D_2.5
22,3,15,D_2.5
23,4,15,D_2.5
24,1,15,D_2
25,2,10,D_2
26,3,10,D_2
27,4,10,D_2
28,5,10,D_2
29,6,10,D_2
30,1,8,D_1.5
31,2,8,D_1.5
