"x","z","t",
127.4701,240.1493,0,
127.4723,245.2127,0.018,
127.5571,255.4883,0.023,
127.6586,260.661,0.029,
127.6985,265.6961,0.036,
127.7456,270.7458,0.043,
127.7705,275.8317,0.05,
127.771,280.9672,0.058,
127.8066,285.9726,0.064,
127.8004,291.2112,0.08,
128.0039,296.4052,0.084,
127.9955,301.4282,0.095,
128.017,306.5982,0.102,
128.0732,311.6741,0.106,
128.1396,316.8787,0.11,
128.2156,322.0493,0.114,
128.344,327.0715,0.131,
128.3191,332.1412,0.151,
128.2879,337.2647,0.157,
128.4605,352.5959,0.159,
128.5431,357.7587,0.164,
128.6649,362.9709,0.178,
128.7304,368.0228,0.181,
128.7379,373.1276,0.191,
128.8284,378.2299,0.194,
128.8026,383.4217,0.211,
128.8681,388.4598,0.214,
128.8171,393.52,0.222,
128.8696,398.7301,0.227,
128.8322,403.7763,0.229,
128.8286,408.8129,0.247,
128.9004,414.0218,0.248,
129.0089,419.2097,0.25,
128.9892,424.3912,0.257,
129.0446,429.5488,0.271,
129.0584,434.667,0.279,
129.1364,439.8486,0.281,
129.0943,444.9025,0.286,
129.1056,449.9915,0.293,
129.1363,455.1393,0.305,
129.2311,460.2873,0.307,
129.2096,465.4636,0.315,
129.1982,470.4369,0.326,
129.3219,475.634,0.334,
129.3296,480.7588,0.337,
129.3574,485.811,0.344,
129.3473,490.922,0.35,
129.5074,495.9125,0.357,
129.4469,501.0003,0.369,
129.5143,506.037,0.376,
129.584,511.161,0.378,
129.5904,516.141,0.386,
129.6957,521.2564,0.398,
129.7996,526.2843,0.401,
129.9046,531.2908,0.409,
129.8481,536.4082,0.42,
129.8789,541.4715,0.422,
129.9267,546.4051,0.438,
129.9159,551.5199,0.441,
129.9934,556.4995,0.443,
129.9388,561.4956,0.45,
130.0741,566.5499,0.465,
130.1133,571.5143,0.467,
130.2249,576.5435,0.473,
130.3488,581.6207,0.479,
130.4079,586.7332,0.486,
130.4276,591.6979,0.503,
130.4866,596.7526,0.513,
130.4674,601.8413,0.519,
130.5851,606.7866,0.52,
130.489,611.8758,0.532,
130.5764,621.866,0.538,
130.6295,626.9859,0.543,
130.6524,632.0546,0.55,
130.7195,637.175,0.557,
130.6899,642.3758,0.564,
130.8279,647.4153,0.581,
130.8124,652.5504,0.597,
130.874,657.6329,0.6,
130.8513,667.6163,0.601,
130.8323,672.7406,0.607,
130.8135,677.8515,0.614,
130.7368,683.0013,0.621,
130.7832,688.0501,0.629,
130.8695,693.1445,0.636,
130.8561,698.2671,0.653,
130.8897,703.2926,0.654,
130.8908,708.4395,0.657,
130.8561,713.5168,0.664,
130.8262,718.4722,0.677,
130.8724,723.4799,0.681,
130.8882,728.5398,0.688,
130.9066,733.6087,0.697,
130.9602,738.6561,0.7,
131.0077,743.8114,0.716,
131.0738,749.0277,0.728,
131.1789,759.2757,0.732,
131.2799,764.2675,0.741,
131.3126,769.3012,0.744,
131.4183,774.2903,0.75,
131.4404,779.3091,0.757,
131.4421,784.3708,0.764,
131.5001,789.351,0.783,
131.5567,794.5114,0.784,
131.6266,799.5565,0.786,
131.7308,804.7043,0.793,
