"x","z","t",
151.4062,97.9583,0,
151.389,99.468,0.031,
151.4228,101.1908,0.054,
151.3963,102.8386,0.087,
151.4403,104.5325,0.137,
151.4454,106.2031,0.162,
151.4217,107.7412,0.203,
151.4977,109.4518,0.227,
151.4506,110.9984,0.26,
151.5591,112.7217,0.305,
151.5712,114.3298,0.324,
151.5209,115.9549,0.354,
151.5443,117.693,0.387,
151.5507,119.2754,0.423,
151.555,120.9283,0.469,
151.5942,122.5444,0.503,
151.5767,124.1667,0.534,
151.6361,125.827,0.565,
151.6238,127.4839,0.602,
151.6545,129.0685,0.631,
151.65,130.7348,0.654,
151.6753,132.3539,0.687,
151.6825,134.0014,0.726,
151.7351,135.724,0.757,
151.6471,137.307,0.79,
151.7168,138.9046,0.834,
151.7174,140.6057,0.854,
151.7502,142.1244,0.89,
151.7295,143.8757,0.92,
151.7278,145.4153,0.967,
151.7393,147.0741,1.001,
151.762,148.8027,1.033,
151.8698,150.3494,1.054,
151.7852,152.0532,1.087,
151.8848,153.6931,1.128,
151.827,155.2825,1.154,
151.8536,156.9307,1.187,
151.8429,158.5702,1.225,
151.8518,160.2248,1.254,
151.8894,161.8867,1.292,
151.8768,163.5398,1.336,
151.8898,165.0902,1.355,
151.8413,166.7919,1.387,
151.9095,168.4326,1.436,
151.9062,169.9949,1.468,
151.8491,171.7324,1.488,
151.8883,173.2957,1.531,
151.9013,174.9822,1.554,
151.9469,176.6165,1.603,
151.8936,178.202,1.62,
151.9333,179.8869,1.663,
151.9646,181.4936,1.696,
151.9373,183.1349,1.735,
151.9541,184.811,1.76,
152.0072,186.4,1.787,
151.9361,188.112,1.822,
151.9664,189.7294,1.854,
151.9382,191.3884,1.887,
151.9274,193.0497,1.936,
151.9021,194.7112,1.968,
151.881,196.3822,1.988,
151.8361,197.9043,2.031,
151.9176,199.6182,2.054,
151.9608,201.2475,2.099,
151.9634,202.8893,2.137,
151.9524,204.6004,2.154,
151.9593,206.1004,2.196,
151.968,207.8079,2.221,
152.0234,209.4002,2.261,
152.0069,211.0388,2.293,
152.069,212.6908,2.337,
152.0368,214.3013,2.359,
152.0595,215.9875,2.391,
152.0599,217.612,2.437,
152.039,219.2507,2.456,
152.0753,220.8638,2.488,
152.0273,222.5933,2.533,
152.041,224.124,2.554,
152.0625,225.8454,2.6,
152.1266,227.4269,2.62,
152.1048,229.069,2.654,
152.1356,230.7703,2.687,
152.1496,232.3981,2.72,
152.164,234.0348,2.761,
152.1722,235.7296,2.787,
152.1877,237.3704,2.835,
152.1696,239.0006,2.854,
152.2393,240.6999,2.887,
152.2567,242.2987,2.921,
152.2962,243.8703,2.959,
152.2795,245.6129,2.991,
152.2746,247.1598,3.034,
152.2986,248.8338,3.058,
152.3256,250.4001,3.087,
152.329,252.0014,3.12,
152.3247,253.699,3.154,
152.4035,255.3792,3.202,
152.364,257.0244,3.235,
152.3793,258.6545,3.266,
152.3169,260.3577,3.287,
152.3964,261.9937,3.328,
152.3582,263.6102,3.354,
152.4152,265.2121,3.387,
152.4061,266.8133,3.435,
152.3763,268.4442,3.46,
152.4258,270.0008,3.487,
152.4092,271.7467,3.521,
152.3933,273.339,3.555,
152.4393,274.9761,3.587,
152.4485,276.6201,3.62,
152.4681,278.1537,3.669,
152.5364,279.8717,3.702,
152.5424,281.4882,3.737,
152.5878,283.1049,3.767,
152.6049,284.7793,3.787,
152.5524,286.3917,3.821,
152.5606,288.0392,3.861,
152.5973,289.6884,3.887,
152.5963,291.3532,3.92,
152.6325,292.9566,3.96,
152.5925,294.603,3.992,
152.5632,296.2473,4.024,
152.7189,297.6981,4.069,
152.7105,299.3814,4.087,
152.6757,301.073,4.121,
152.7102,302.6845,4.166,
152.7524,304.3669,4.187,
152.7572,305.9653,4.22,
152.8363,307.6209,4.262,
152.8608,309.2332,4.287,
152.9069,310.893,4.337,
152.9513,312.4346,4.354,
152.9702,314.0333,4.393,
152.9898,315.6972,4.424,
153.0175,317.2363,4.469,
153.0222,318.9182,4.489,
153.0774,320.5189,4.521,
153.0842,322.1287,4.565,
153.0949,323.7769,4.587,
153.0608,325.3887,4.633,
153.086,327.0227,4.67,
153.1139,328.6017,4.687,
153.2078,330.2447,4.729,
153.2514,331.8108,4.754,
153.2065,333.4894,4.787,
153.2638,335.0583,4.82,
153.287,336.7131,4.856,
153.3159,338.3174,4.887,
153.3158,339.9347,4.921,
153.3796,341.5183,4.968,
153.4439,343.1688,4.987,
153.384,344.8336,5.036,
153.4036,346.5424,5.054,
153.4526,348.0373,5.1,
153.4827,349.6855,5.132,
153.5428,351.3245,5.154,
153.5781,352.9514,5.187,
153.6144,354.5244,5.22,
153.6262,356.2118,5.254,
153.6252,357.8133,5.292,
153.6482,359.4217,5.321,
153.7249,361.0837,5.373,
153.7639,362.6401,5.387,
153.8065,364.2636,5.424,
153.8757,365.9519,5.454,
153.8482,367.6021,5.487,
153.9211,369.2161,5.535,
153.9245,370.7604,5.573,
153.963,372.4983,5.6,
153.992,374.0084,5.62,
153.9796,375.7055,5.662,
154.0391,377.3817,5.687,
154.0136,378.9386,5.721,
154.0748,380.5792,5.755,
154.0743,382.0993,5.793,
154.1206,383.7887,5.82,
154.1561,385.3224,5.854,
154.1625,386.9933,5.89,
154.1978,388.6226,5.92,
154.1587,390.1896,5.969,
154.2255,391.812,5.987,
154.2609,393.3904,6.021,
154.2678,395.0241,6.058,
154.2844,396.6059,6.097,
154.2805,398.2891,6.12,
154.2702,399.8857,6.171,
154.2458,401.5953,6.187,
154.3269,403.0798,6.22,
154.3102,404.7491,6.254,
154.3502,406.3201,6.293,
154.3353,407.8885,6.324,
154.3741,409.527,6.356,
154.3604,411.0901,6.401,
154.3386,412.8134,6.421,
154.3928,414.3918,6.458,
154.403,415.9946,6.497,
154.5009,417.6657,6.52,
154.4309,419.2294,6.57,
154.4514,420.894,6.597,
154.452,422.453,6.62,
154.4815,424.1021,6.654,
154.4812,425.721,6.693,
154.4928,427.3419,6.725,
154.5374,428.9674,6.757,
154.4798,430.6484,6.802,
154.5892,432.1882,6.822,
154.5328,433.8378,6.872,
154.5094,435.5409,6.901,
154.5624,437.1107,6.92,
154.5698,438.7324,6.954,
154.5405,440.4288,6.994,
154.5336,442.0379,7.02,
154.5667,443.678,7.054,
154.5754,445.2869,7.091,
154.6184,446.9457,7.12,
154.6577,448.6632,7.154,
154.6253,450.1602,7.188,
154.6585,451.8694,7.22,
154.6321,453.571,7.256,
154.681,455.1867,7.3,
154.7055,456.7907,7.32,
154.772,458.4269,7.371,
154.7276,460.0507,7.387,
154.7567,461.7353,7.42,
154.7153,463.4244,7.454,
154.81,464.9808,7.494,
154.8795,466.6838,7.52,
154.876,468.3155,7.554,
154.8635,469.9472,7.592,
154.9098,471.5808,7.62,
154.9816,473.1522,7.66,
154.9124,474.8239,7.687,
154.9939,476.4985,7.72,
154.9932,478.1321,7.754,
155.0094,479.8612,7.787,
155.046,481.4986,7.835,
155.1342,483.1108,7.867,
155.0893,484.7709,7.902,
155.0842,486.4537,7.934,
155.113,488.1133,7.97,
155.1574,489.7413,7.987,
155.203,491.4756,8.02,
155.2222,493.1294,8.054,
155.1728,494.7632,8.093,
155.2202,496.5108,8.12,
155.2231,498.1894,8.159,
155.3057,499.8276,8.204,
155.2655,501.5137,8.224,
155.2903,503.1606,8.255,
155.2832,504.8889,8.3,
155.3799,506.4606,8.32,
155.4114,508.1461,8.369,
155.3862,509.8174,8.402,
155.3344,511.5138,8.433,
155.3527,513.2417,8.454,
155.3778,514.8784,8.487,
155.3774,516.5946,8.53,
155.3965,518.2503,8.563,
155.353,519.9684,8.601,
155.4039,521.5654,8.627,
155.471,523.218,8.653,
155.4554,524.9764,8.689,
155.4672,526.6095,8.72,
155.4758,528.2955,8.754,
155.518,529.924,8.787,
155.5193,531.6297,8.836,
155.5793,533.3088,8.868,
155.5582,534.9783,8.902,
155.5484,536.7034,8.933,
155.6237,538.3959,8.954,
155.6242,540.084,8.987,
155.632,541.7426,9.027,
155.6744,543.4708,9.054,
155.6301,545.0929,9.104,
155.673,546.8081,9.12,
155.7317,548.493,9.157,
155.7226,550.1224,9.202,
155.7142,551.862,9.222,
155.7022,553.5455,9.254,
155.7595,555.2338,9.29,
155.7598,556.8483,9.32,
155.83,558.5066,9.354,
155.8265,560.1956,9.387,
155.814,561.8189,9.429,
155.8925,563.5244,9.454,
155.8607,565.2068,9.487,
155.8554,566.8915,9.52,
155.9142,568.5911,9.554,
155.9061,570.2494,9.587,
155.9061,571.8439,9.624,
155.9127,573.6111,9.654,
155.8987,575.3022,9.703,
155.873,576.9337,9.72,
155.9084,578.6509,9.755,
155.884,580.3801,9.787,
155.9314,582.1039,9.831,
155.9123,583.7835,9.854,
155.9551,585.4516,9.904,
155.9007,587.1845,9.931,
155.8727,588.8471,9.963,
155.9135,590.5239,10.001,
155.8734,592.18,10.036,
155.8895,593.9079,10.059,
155.9372,595.5777,10.103,
155.9892,597.2527,10.13,
155.9811,598.9553,10.156,
155.974,600.68,10.194,
156.0132,602.3171,10.233,
156.0769,604.0001,10.253,
156.0581,605.7259,10.303,
156.0645,607.4526,10.334,
156.1166,609.0848,10.354,
156.0997,610.7857,10.387,
156.1145,612.5444,10.428,
156.1223,614.108,10.453,
156.104,615.8927,10.496,
156.1978,617.62,10.537,
156.2094,619.2243,10.561,
156.1789,620.941,10.598,
156.2419,622.6653,10.637,
156.1884,624.347,10.658,
156.2548,625.9589,10.69,
156.2399,627.6269,10.734,
156.278,629.3646,10.754,
156.3273,630.9841,10.787,
156.3287,632.6688,10.83,
156.3273,634.3917,10.854,
156.3281,636.0652,10.897,
156.3885,637.766,10.92,
156.3852,639.4489,10.954,
156.4165,641.0854,10.987,
156.3974,642.7362,11.02,
156.4408,644.445,11.059,
156.4595,646.0946,11.087,
156.4063,647.7973,11.136,
156.4848,649.4217,11.154,
156.4815,651.127,11.191,
156.4811,652.7526,11.235,
156.4889,654.4652,11.255,
156.5013,656.0146,11.288,
156.5645,657.7232,11.332,
156.5483,659.4342,11.354,
156.5005,661.1248,11.399,
156.5877,662.8193,11.435,
156.6135,664.4811,11.465,
