"x","z","t",
143.5346,82.2375,0,
143.584,84.7819,0.063,
143.6732,87.3686,0.122,
143.6605,89.9538,0.189,
143.7521,92.4483,0.256,
143.8513,95.0678,0.322,
143.8954,97.6359,0.389,
143.9662,100.2167,0.457,
143.9242,102.8384,0.522,
144.0332,105.3112,0.591,
144.134,107.889,0.656,
144.3246,110.4719,0.722,
144.3047,113.1748,0.795,
144.4874,115.6395,0.856,
144.4822,118.287,0.922,
144.5191,120.8731,0.989,
144.6326,123.4202,1.056,
144.6807,126.1208,1.123,
144.773,128.7251,1.191,
144.8414,131.234,1.256,
144.9604,133.9598,1.322,
145.1145,136.4563,1.396,
145.1167,139.0424,1.456,
145.2494,141.7068,1.522,
145.3474,144.2573,1.589,
145.471,146.8072,1.66,
145.5364,149.4327,1.723,
145.5401,151.9749,1.792,
145.6547,154.6235,1.856,
145.7071,157.2579,1.922,
145.8066,159.8707,1.989,
145.9,162.4994,2.055,
145.946,165.099,2.13,
146.0659,167.6539,2.189,
146.1433,170.303,2.256,
146.2499,172.9422,2.324,
146.3567,175.513,2.389,
146.3951,178.1949,2.457,
146.5085,180.7445,2.522,
146.5794,183.4206,2.602,
146.6011,186.001,2.656,
146.6124,188.6371,2.722,
146.7096,191.1825,2.789,
146.8201,193.7868,2.86,
146.8633,196.4644,2.937,
147.0136,198.9989,2.996,
146.9864,201.7425,3.056,
147.0473,204.4227,3.122,
147.1106,206.9152,3.189,
147.1079,209.5583,3.256,
147.1848,212.104,3.328,
147.2458,214.6854,3.396,
147.3511,217.1981,3.456,
147.3923,219.8577,3.524,
147.4556,222.4456,3.589,
147.5079,225.0718,3.656,
147.5776,227.7304,3.722,
147.6496,230.3719,3.789,
147.6999,232.9399,3.856,
147.7104,235.5765,3.922,
147.7963,238.1987,3.989,
147.9001,240.6878,4.056,
147.9082,243.378,4.122,
147.9765,245.9828,4.189,
148.0328,248.5735,4.256,
148.1439,251.2711,4.322,
148.1259,253.8521,4.389,
148.1918,256.5305,4.456,
148.2979,259.1361,4.522,
148.3546,261.818,4.589,
148.4348,264.4308,4.656,
148.5273,266.996,4.723,
148.6195,269.6401,4.789,
148.6648,272.2772,4.856,
148.6958,274.876,4.922,
148.7787,277.5266,4.989,
148.8064,280.1702,5.056,
148.9652,282.7364,5.122,
148.9989,285.3524,5.189,
149.0754,287.8949,5.256,
149.0792,290.6374,5.322,
149.1719,293.2438,5.389,
149.1635,295.7522,5.456,
149.2898,298.4306,5.522,
149.3142,300.8991,5.599,
149.3773,303.5207,5.662,
149.4526,306.163,5.722,
149.5422,308.6269,5.789,
149.5673,311.3292,5.858,
149.6887,313.8013,5.922,
149.6973,316.3706,5.989,
149.8237,318.9792,6.055,
149.8662,321.6237,6.122,
149.9444,324.1913,6.189,
150.0087,326.7864,6.262,
150.05,329.2957,6.322,
150.155,331.9128,6.394,
150.1998,334.4514,6.47,
150.2315,337.06,6.522,
150.2366,339.6363,6.605,
150.2475,342.2767,6.656,
150.2262,344.8069,6.722,
150.3187,347.3444,6.795,
150.3183,350.0417,6.856,
150.4689,352.5604,6.929,
150.5179,355.0706,6.989,
150.6583,357.6381,7.055,
150.6919,360.2773,7.122,
150.7763,362.9814,7.189,
150.7313,365.4254,7.271,
150.7362,367.9865,7.322,
151.0474,370.4992,7.389,
150.885,372.9725,7.456,
151.0555,375.5536,7.522,
151.0857,378.1361,7.589,
151.0335,380.7647,7.656,
151.1194,383.4746,7.722,
151.0952,385.9909,7.789,
151.0881,388.6295,7.87,
151.158,391.0951,7.924,
151.2163,393.6397,7.989,
151.3288,396.2419,8.056,
151.3028,398.7636,8.122,
151.3118,401.4574,8.189,
151.3186,403.9746,8.256,
151.3697,406.4685,8.322,
151.4258,409.0085,8.398,
151.5208,411.5433,8.456,
151.4511,414.1895,8.522,
151.5305,416.6977,8.589,
151.5512,419.2305,8.656,
151.5927,421.7545,8.722,
151.6039,424.3346,8.8,
151.6288,426.9143,8.868,
151.7045,429.5535,8.922,
151.7466,432.0193,8.994,
151.7961,434.6146,9.056,
151.8187,437.162,9.122,
151.8336,439.6249,9.189,
151.9192,442.2369,9.256,
151.9649,444.8757,9.322,
151.9779,447.3477,9.389,
152.0214,449.8918,9.456,
152.0897,452.418,9.522,
152.0379,454.9169,9.592,
152.1591,457.5632,9.655,
152.2209,460.1047,9.722,
152.2188,462.6535,9.789,
152.2553,465.1919,9.856,
152.3713,467.7164,9.922,
152.3979,470.221,9.989,
152.4646,472.7559,10.055,
152.5104,475.377,10.122,
152.4456,477.907,10.189,
152.564,480.5341,10.255,
152.5275,482.9513,10.322,
152.6084,485.4764,10.389,
152.7072,487.9206,10.456,
152.753,490.4213,10.522,
152.7939,492.9694,10.59,
152.8692,495.4988,10.656,
152.8801,497.989,10.722,
152.9642,500.5327,10.789,
153.026,503.0984,10.856,
153.0829,505.5233,10.922,
153.1539,507.9693,10.989,
153.1963,510.4495,11.055,
153.2434,512.8415,11.122,
153.3272,515.3325,11.19,
153.3653,517.7608,11.256,
153.3365,520.2716,11.333,
153.4339,522.7648,11.404,
153.4461,525.2369,11.456,
153.5194,527.6838,11.535,
153.545,530.1061,11.599,
153.689,532.5327,11.656,
153.6794,535.0641,11.726,
153.7756,537.5681,11.789,
153.7665,540.0494,11.856,
153.8135,542.565,11.922,
153.9628,544.9334,11.989,
153.9819,547.436,12.055,
153.989,549.9024,12.122,
154.0999,552.39,12.189,
154.1199,554.9604,12.256,
154.1847,557.4311,12.325,
154.2194,559.8474,12.389,
154.2984,562.4008,12.456,
154.2565,564.8789,12.536,
154.3265,567.4221,12.607,
154.377,569.8499,12.656,
154.4343,572.3778,12.722,
154.483,574.8331,12.789,
154.5019,577.3517,12.856,
154.5534,579.8367,12.929,
154.5722,582.4014,12.989,
154.5716,584.8699,13.055,
154.6069,587.4576,13.122,
154.6395,589.9315,13.192,
154.6554,592.5487,13.257,
154.62,595.0237,13.325,
154.7463,597.6473,13.389,
154.7631,600.1704,13.456,
154.7664,602.6235,13.522,
154.8365,605.1983,13.589,
154.8702,607.7982,13.656,
154.8917,610.2763,13.722,
154.9733,612.8971,13.789,
154.9832,615.5093,13.856,
155.0675,618.0335,13.925,
155.0801,620.546,13.989,
155.1459,623.0843,14.056,
155.1788,625.6992,14.122,
155.219,628.2685,14.189,
155.2904,630.7875,14.262,
155.3274,633.4384,14.322,
155.3715,635.9707,14.389,
155.4145,638.5502,14.455,
155.4003,641.1836,14.523,
155.4052,643.7592,14.589,
155.4908,646.413,14.656,
155.4865,649.0252,14.722,
155.5532,651.5069,14.789,
155.5327,654.2144,14.86,
155.578,656.7938,14.937,
155.6562,659.2789,14.995,
155.6935,661.9213,15.055,
155.7569,664.5508,15.123,
155.7586,667.0942,15.189,
155.7424,669.695,15.267,
155.7704,672.3647,15.322,
155.7889,674.8717,15.389,
155.864,677.4656,15.463,
155.9251,680.0992,15.522,
155.9642,682.7206,15.589,
156.0093,685.3239,15.672,
156.0695,687.9203,15.722,
156.086,690.5162,15.791,
156.1008,693.1686,15.858,
156.214,695.7064,15.922,
156.1789,698.369,15.989,
156.2559,700.93,16.055,
156.2714,703.4766,16.122,
156.3253,706.1008,16.189,
156.3202,708.7301,16.255,
156.3474,711.3384,16.322,
156.3736,713.8571,16.389,
156.4275,716.4709,16.455,
156.4758,718.9491,16.522,
156.471,721.5967,16.589,
156.5847,724.1748,16.655,
156.6119,726.6945,16.722,
156.6018,729.3298,16.789,
156.6723,731.834,16.855,
156.6723,734.5214,16.922,
156.7618,737.0365,16.989,
156.8124,739.6205,17.057,
156.913,742.1738,17.122,
156.9738,744.8406,17.189,
157.0204,747.3669,17.255,
157.1235,749.9874,17.322,
157.1784,752.5805,17.391,
157.1704,755.1461,17.459,
157.2733,757.6592,17.522,
157.3259,760.1891,17.601,
157.3394,762.7895,17.67,
157.5216,765.3723,17.722,
157.5553,767.9354,17.795,
157.597,770.4642,17.855,
157.6728,773.0043,17.922,
157.7944,775.5384,17.989,
157.8054,778.1261,18.055,
157.8716,780.6405,18.122,
157.964,783.2575,18.189,
158.0412,785.7448,18.256,
158.1065,788.3083,18.322,
158.1792,790.7661,18.392,
158.2001,793.3057,18.455,
158.2861,795.8186,18.522,
158.3236,798.3375,18.597,
158.4099,800.8364,18.655,
158.4623,803.4243,18.722,
158.5265,805.8642,18.789,
158.5877,808.48,18.855,
158.6779,810.8849,18.926,
158.7105,813.4085,18.989,
158.7688,815.9344,19.055,
