"x","z","t",
145.1373,51.6673,0,
145.1393,53.6575,0.007,
145.1114,55.6743,0.016,
145.1153,57.6765,0.036,
145.0684,59.7047,0.069,
144.9636,61.7402,0.086,
144.9725,63.6359,0.096,
145.0097,65.7866,0.122,
144.9025,67.8512,0.148,
144.8644,69.9047,0.172,
144.6917,71.7507,0.176,
144.5134,74.1036,0.211,
144.471,76.1707,0.216,
144.2267,78.076,0.251,
144.2034,80.2291,0.259,
143.8972,82.1187,0.293,
143.8216,84.3656,0.309,
143.6456,86.5648,0.33,
143.5485,88.4638,0.336,
143.5241,90.3338,0.356,
143.4163,92.5386,0.387,
143.3968,94.6376,0.411,
143.4049,96.6801,0.424,
143.2982,98.8131,0.436,
143.3048,101.0208,0.467,
143.3892,103.158,0.485,
143.3749,105.2343,0.503,
143.4344,107.3861,0.516,
143.4553,109.6456,0.536,
143.4835,111.7593,0.564,
143.5239,113.8913,0.583,
143.5441,116.1563,0.596,
143.5748,118.5185,0.628,
143.6718,120.5687,0.659,
143.7498,122.7695,0.661,
143.664,124.9499,0.691,
143.609,127.0234,0.696,
143.7026,129.2963,0.728,
143.6104,131.5789,0.736,
143.4897,133.7655,0.767,
143.5163,135.8934,0.776,
143.2937,138.0754,0.808,
143.2987,140.2385,0.816,
143.3497,142.4093,0.851,
143.2812,144.4743,0.856,
143.2977,146.5182,0.887,
143.3241,148.4997,0.911,
143.2646,150.6078,0.921,
143.2103,152.6516,0.936,
143.2372,154.9213,0.964,
143.2826,157.1934,0.991,
143.2356,159.3682,0.997,
143.2984,161.4921,1.031,
143.3867,163.704,1.036,
143.3523,165.9688,1.068,
143.4874,167.9621,1.079,
143.4052,170.0979,1.113,
143.3019,172.2634,1.116,
143.104,174.2397,1.136,
143.1312,176.2185,1.156,
143.0485,178.2276,1.18,
143.0642,180.3422,1.209,
143.1561,182.474,1.235,
143.0049,184.7476,1.238,
143.0105,186.9658,1.269,
143.1179,189.1751,1.289,
143.1312,191.5962,1.299,
143.1133,193.6214,1.338,
143.0705,195.6698,1.34,
143.0538,197.6964,1.368,
143.1138,199.947,1.382,
143.0352,201.8175,1.411,
143.0045,204.056,1.419,
143.1132,206.0808,1.452,
143.2377,207.9294,1.462,
143.1487,210.2356,1.484,
143.162,212.379,1.496,
143.1121,214.4445,1.533,
143.1272,216.5494,1.536,
143.0791,218.59,1.572,
143.124,220.8628,1.576,
143.0612,222.9578,1.607,
143.0952,224.9951,1.632,
143.0587,227.1104,1.637,
143.0527,229.1879,1.656,
143.0987,231.2525,1.682,
143.0954,233.3406,1.714,
143.0801,235.4499,1.718,
143.0838,237.6366,1.738,
142.9328,239.9377,1.773,
142.9599,242.2114,1.783,
142.8957,244.3089,1.81,
142.8247,246.865,1.821,
142.8049,249.0326,1.836,
142.8752,251.1317,1.864,
142.8235,253.2251,1.891,
142.7667,255.2206,1.897,
142.7836,257.1549,1.931,
142.825,259.2059,1.936,
142.7846,261.4727,1.967,
142.8035,263.6536,1.976,
142.881,266.0158,2.008,
142.9399,268.226,2.035,
142.8724,270.4344,2.047,
142.9028,272.3967,2.056,
142.8519,274.5402,2.088,
142.854,276.7484,2.117,
142.9351,278.9975,2.124,
142.8757,280.888,2.136,
142.955,283.0292,2.156,
142.9181,285.0916,2.185,
142.901,287.2315,2.196,
142.813,289.359,2.216,
142.8837,291.5281,2.251,
142.9494,293.582,2.256,
142.9846,295.8461,2.276,
143.014,297.8624,2.314,
142.9343,300.1481,2.316,
142.982,302.2414,2.336,
142.9303,304.5217,2.37,
143.0372,306.5533,2.376,
143.0405,308.7961,2.411,
142.9969,310.9477,2.43,
142.963,313.1557,2.448,
142.9802,315.2468,2.456,
143.2022,317.3433,2.482,
143.0267,319.5287,2.496,
143.2313,321.5904,2.524,
143.3382,323.77,2.553,
143.1647,325.62,2.557,
143.3183,327.8001,2.576,
143.2554,329.9387,2.604,
143.2079,331.9241,2.633,
143.2105,333.9801,2.641,
142.9951,335.9669,2.657,
143.0209,338.0028,2.684,
142.9571,340.2229,2.712,
143.0404,342.21,2.716,
142.9058,344.3353,2.745,
142.9677,346.3966,2.756,
142.9829,348.4761,2.776,
142.9426,350.6656,2.805,
142.8977,352.6717,2.816,
142.9727,354.7221,2.849,
142.8617,356.812,2.856,
142.9075,359.047,2.889,
142.9873,361.168,2.896,
142.938,363.2925,2.928,
142.8323,365.3522,2.936,
142.8746,367.1326,2.967,
143.0459,369.1741,2.976,
142.8426,371.4256,3.001,
142.8068,373.5929,3.031,
142.7071,375.6947,3.036,
142.7562,377.4523,3.073,
142.6807,379.5392,3.077,
142.6885,381.5237,3.096,
142.4892,383.5114,3.131,
142.554,385.5205,3.136,
142.4939,387.565,3.169,
142.4243,389.8602,3.177,
142.5374,391.9547,3.212,
142.4064,393.9896,3.216,
142.3351,396.0153,3.249,
142.3301,397.9047,3.256,
142.19,399.878,3.292,
142.2265,401.8347,3.296,
142.1801,403.6964,3.324,
142.1449,405.7762,3.355,
141.9006,407.8905,3.36,
142.0305,409.8634,3.376,
141.8494,411.9608,3.404,
141.7948,414.0367,3.431,
141.8477,416.1667,3.439,
141.8988,418.0561,3.473,
141.7957,420.1151,3.477,
141.8309,422.0233,3.496,
141.6036,424.1148,3.532,
141.702,426.2689,3.536,
141.6848,428.1851,3.556,
141.6454,430.3459,3.591,
141.6362,432.3276,3.597,
141.6935,434.0952,3.63,
141.7007,436.0999,3.647,
141.8328,438.2055,3.656,
141.7648,440.2244,3.683,
141.795,442.1544,3.696,
141.9434,443.9889,3.717,
141.7267,446.002,3.737,
141.6933,448.1377,3.756,
141.6603,450.0952,3.78,
141.723,452.0066,3.796,
141.8006,453.9534,3.831,
141.6349,455.8173,3.838,
141.6091,457.8459,3.871,
141.4914,459.9658,3.877,
141.5925,462.0687,3.915,
141.5169,464.1202,3.917,
141.4933,465.9803,3.944,
141.5848,467.9543,3.965,
141.5353,470.0319,3.984,
141.4833,471.9111,3.996,
141.5924,473.7246,4.027,
141.469,475.8117,4.051,
141.5257,477.7428,4.066,
141.5335,479.7147,4.077,
141.5224,481.731,4.107,
141.5491,483.7278,4.135,
141.6013,485.6694,4.139,
141.662,487.747,4.175,
141.5376,489.7483,4.177,
141.5275,491.4028,4.196,
141.5851,493.4897,4.236,
141.3654,495.3561,4.238,
141.6546,497.222,4.271,
141.5324,499.3101,4.294,
141.5678,501.188,4.298,
141.5881,503.1479,4.316,
141.4879,504.9353,4.349,
141.539,506.9183,4.384,
141.3694,508.9118,4.387,
141.5206,510.7491,4.396,
141.5311,512.6726,4.429,
141.491,514.6199,4.45,
141.6957,516.5599,4.465,
141.5774,518.3043,4.476,
141.6254,520.2499,4.508,
141.6599,522.208,4.531,
141.7685,524.1522,4.541,
141.5978,526.153,4.56,
141.453,528.1442,4.577,
141.4358,529.9708,4.612,
141.4093,532.0757,4.621,
141.4703,534.343,4.646,
141.5619,536.3523,4.657,
141.5004,538.3114,4.689,
141.5978,540.3739,4.696,
141.6179,542.3644,4.716,
141.7672,544.0181,4.75,
141.5725,546.054,4.772,
141.4528,547.9923,4.786,
141.462,549.8977,4.796,
141.6123,551.8563,4.822,
141.4575,553.6826,4.85,
141.5522,555.4555,4.868,
141.5162,557.3773,4.877,
141.5501,559.1634,4.912,
141.5506,561.1936,4.916,
141.5161,563.164,4.944,
141.6793,565.1485,4.966,
141.7201,566.9895,4.98,
141.6797,569.0594,4.996,
141.5134,571.0548,5.024,
141.5843,572.9227,5.051,
141.7229,574.9916,5.06,
141.719,576.8156,5.077,
141.5405,578.7832,5.109,
141.5475,580.7211,5.116,
141.6782,582.5836,5.152,
141.503,584.4977,5.156,
141.5262,586.3585,5.189,
141.5192,588.3874,5.196,
