run ,run_particle,frame_rate [fps],particle_type
1,1,120,S_3
2,2,120,S_3
3,3,120,S_3
4,4,120,S_3
5,5,120,S_3
6,6,120,S_3
7,7,120,S_3
8,1,120,S_1.5
9,2,120,S_1.5
10,3,120,S_1.5
11,4,90,S_1.5
12,5,90,S_1.5
13,1,50,D_3
14,2,50,D_3
15,3,50,D_3
16,4,50,D_3
17,5,50,D_3
18,1,30,D_2.5
19,2,30,D_2.5
20,3,30,D_2.5
21,4,30,D_2.5
22,1,30,D_2
23,2,30,D_2
24,3,30,D_2
25,4,30,D_2
26,5,30,D_2
27,1,15,D_1.5
28,2,15,D_1.5
29,3,15,D_1.5
30,4,15,D_1.5
31,5,15,D_1.5
