Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.00169,1.185e-07,0.0007226
0.002124,7.65e-08,0.000653
0.002668,2.378e-08,0.0005656
0.003352,4.239e-08,0.0004559
0.004212,1.253e-07,0.0003184
0.005292,2.291e-07,0.0001465
0.006649,3.584e-07,6.791e-05
0.008354,5.195e-07,0.0003348
0.0105,7.195e-07,0.0006661
0.01319,9.671e-07,0.001076
0.01657,1.272e-06,0.001582
0.02082,1.647e-06,0.002202
0.02615,2.104e-06,0.002958
0.03286,2.655e-06,0.003871
0.04129,3.314e-06,0.004961
0.05187,4.089e-06,0.006241
0.06518,4.98e-06,0.007715
0.08189,5.974e-06,0.009359
0.1029,7.031e-06,0.01111
0.1293,8.072e-06,0.01285
0.1624,8.955e-06,0.01435
0.2041,9.451e-06,0.01529
0.2564,9.221e-06,0.01517
0.3221,7.81e-06,0.01342
0.4047,4.713e-06,0.009587
0.5085,3.762e-06,0.003902
0.6389,6.901e-06,0.001168
0.8027,1.363e-05,0.001785
1.009,2.419e-05,0.002444
1.267,4.134e-05,0.003226
1.592,6.737e-05,0.004149
2,0.0001053,0.00524
2.513,0.0001646,0.006562
3.158,0.0002584,0.008195
3.967,0.000407,0.01024
4.984,0.0006407,0.01283
6.262,0.001016,0.01615
7.868,0.001607,0.0204
9.886,0.002517,0.02586
12.42,0.003928,0.03285
15.61,0.006102,0.04174
19.61,0.009471,0.05292
24.63,0.01476,0.06675
30.95,0.02326,0.08356
38.89,0.03726,0.1035
48.86,0.06011,0.1266
61.39,0.09588,0.1526
77.13,0.1478,0.181
96.9,0.2151,0.2103
121.8,0.2939,0.2414
