Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,3.32
7.94,0,0.79
6.31,0,0.61
5.01,0.153,0.518
3.98,0.27,0.453
3.16,0.32,0.4
2.51,0.355,0.372
2,0.344,0.289
1.58,0.328,0.314
1.26,0.3,0.263
1,0.28,0.258
0.794,0.257,0.238
0.631,0.232,0.212
0.501,0.212,0.194
0.398,0.189,0.176
0.316,0.166,0.156
0.251,0.147,0.142
0.2,0.129,0.128
0.158,0.114,0.115
0.126,0.0988,0.103
0.1,0.0861,0.0921
0.0794,0.0741,0.0824
0.0631,0.0629,0.0739
0.0501,0.0531,0.0654
0.0398,0.0441,0.058
0.0316,0.036,0.0512
0.0251,0.029,0.045
0.02,0.0226,0.0391
0.0158,0.0169,0.0337
0.0126,0.0121,0.0286
0.01,0.00872,0.0239
