"x","z","t",
133.598,78.7281,0,
133.6667,84.6695,0.006,
133.7943,90.7362,0.013,
133.867,96.7178,0.026,
133.8716,102.7868,0.029,
134.0215,108.7688,0.037,
134.1645,114.8133,0.042,
134.221,120.7811,0.049,
134.4397,126.8226,0.056,
134.379,132.8729,0.064,
134.4332,138.8091,0.071,
134.47,144.9225,0.078,
134.6431,151.0613,0.096,
134.7444,157,0.103,
134.75,163.0934,0.109,
134.9135,169.1376,0.112,
135.001,175.1564,0.113,
135.0196,181.3157,0.12,
135.0795,187.3936,0.134,
135.0825,193.497,0.141,
135.1718,199.6187,0.144,
135.2768,205.6866,0.154,
135.3278,211.8474,0.156,
135.3176,217.8975,0.169,
135.4186,223.8867,0.177,
135.4337,230.0701,0.183,
135.4868,236.2533,0.19,
135.5548,242.3476,0.192,
135.6305,248.4721,0.199,
135.7103,254.4558,0.206,
135.7654,260.5605,0.213,
135.755,266.6022,0.221,
135.7853,272.638,0.228,
135.7757,278.7082,0.235,
135.7935,284.8187,0.242,
135.7883,290.9382,0.249,
135.849,296.952,0.257,
135.8984,303.0223,0.264,
135.9319,308.9457,0.271,
135.8381,314.9799,0.278,
135.9255,321.0609,0.285,
135.8007,327.2668,0.292,
135.83,333.3295,0.299,
135.832,339.3958,0.317,
135.7459,345.3395,0.323,
135.7368,351.386,0.325,
135.7473,357.5356,0.337,
135.7139,363.5932,0.338,
135.6991,369.722,0.342,
135.7358,375.8015,0.349,
135.7262,381.9584,0.357,
135.7508,388.1559,0.364,
135.7597,394.2229,0.376,
135.7591,400.355,0.378,
135.8646,406.5055,0.388,
135.8401,412.7113,0.398,
136.0182,418.9231,0.4,
135.9929,425.197,0.406,
136.001,431.3505,0.413,
136.1187,437.4312,0.426,
136.194,443.6812,0.429,
136.2891,449.7807,0.44,
136.2947,456.0091,0.444,
136.3788,462.1738,0.449,
136.4448,468.4452,0.462,
136.6148,474.5793,0.464,
136.6444,480.702,0.476,
136.7248,486.8641,0.479,
136.7785,493.0185,0.496,
136.9291,499.062,0.503,
137.141,505.2246,0.51,
137.3516,517.6665,0.514,
137.5137,523.7817,0.521,
137.6599,529.8047,0.528,
137.6806,536.0425,0.535,
137.8426,542.2091,0.542,
137.9519,548.4022,0.556,
138.0332,554.4968,0.559,
138.0753,560.5793,0.569,
138.1778,566.6841,0.571,
138.2915,572.7113,0.578,
138.3745,578.9773,0.585,
138.5027,585.0419,0.592,
138.6044,591.1662,0.599,
138.612,597.2067,0.606,
138.6898,603.3277,0.619,
139.0182,615.5828,0.637,
139.1528,621.6598,0.638,
139.321,627.8087,0.642,
139.2944,633.8862,0.649,
139.3261,640.0253,0.656,
139.4255,646.1071,0.664,
139.4721,652.2124,0.671,
139.5067,658.2292,0.683,
139.6321,664.4104,0.686,
139.8914,670.4993,0.693,
139.9981,676.6366,0.705,
140.0665,682.7144,0.707,
140.1292,688.8764,0.713,
140.1881,695.0062,0.721,
140.2707,701.0711,0.733,
140.3472,707.049,0.736,
140.5088,713.1413,0.747,
140.5672,719.2109,0.75,
140.6161,725.3279,0.756,
140.6905,731.4848,0.774,
140.7079,737.5828,0.785,
140.8657,749.6922,0.787,
140.965,755.7598,0.807,
141.0837,767.9133,0.82,
141.2385,780.1124,0.821,
141.3586,786.233,0.828,
141.3971,792.334,0.835,
141.5602,798.2621,0.842,
141.5958,804.2864,0.849,
141.6627,810.3253,0.863,
141.7497,816.3486,0.868,
141.869,822.4559,0.872,
141.9628,828.4398,0.878,
142.0971,834.516,0.885,
142.2029,840.4181,0.899,
142.3046,846.4718,0.906,
142.3794,852.4896,0.912,
142.5408,858.495,0.916,
142.6856,864.4518,0.92,
142.8115,870.523,0.928,
142.9049,876.389,0.946,
143.0603,882.3597,0.961,
143.3283,894.5065,0.962,
143.3098,900.4341,0.964,
143.5186,906.4178,0.98,
143.5579,912.2909,0.983,
143.6373,918.2207,0.992,
143.7074,924.22,0.995,
143.8592,930.1503,1.006,
144.0328,936.0538,1.015,
144.1519,941.9278,1.022,
144.1535,947.8693,1.03,
144.2596,953.6774,1.031,
144.315,959.5418,1.035,
144.4431,965.4741,1.042,
144.4457,971.282,1.055,
144.5925,977.2088,1.057,
144.5897,983.0656,1.07,
144.6731,989.0468,1.073,
144.7895,994.8667,1.078,
144.7772,1000.7695,1.091,
144.7846,1006.438,1.093,
144.8124,1012.3198,1.106,
144.827,1018.3118,1.109,
144.817,1024.2242,1.113,
144.8609,1030.0374,1.12,
144.9873,1035.8179,1.134,
145.0107,1041.6911,1.14,
144.9905,1047.5276,1.149,
144.9581,1053.4445,1.152,
145.0366,1059.3473,1.156,
145.0494,1065.2406,1.169,
145.1124,1071.2293,1.173,
145.1327,1076.9626,1.183,
145.1665,1082.8645,1.185,
145.2533,1088.7066,1.197,
145.3569,1094.5442,1.202,
145.3169,1100.6334,1.213,
145.3767,1106.4934,1.217,
145.3666,1112.4804,1.221,
145.4925,1118.4523,1.228,
145.5192,1124.2316,1.235,
145.5275,1130.1095,1.259,
145.6076,1135.9903,1.265,
145.6842,1147.8602,1.266,
145.7505,1153.7778,1.28,
145.8845,1159.7026,1.286,
145.9058,1165.5121,1.288,
146.0379,1171.3875,1.302,
146.0648,1177.261,1.304,
146.0881,1183.144,1.306,
146.1638,1189.1082,1.313,
146.2521,1194.9681,1.326,
146.3366,1201.0526,1.33,
146.4482,1206.9389,1.345,
146.5344,1212.7675,1.348,
146.6416,1218.6677,1.349,
146.823,1224.7902,1.362,
146.8745,1230.6962,1.375,
146.8465,1236.7441,1.377,
146.9496,1242.8088,1.378,
146.991,1248.7397,1.39,
147.0582,1254.6565,1.396,
147.2021,1260.6426,1.405,
147.388,1266.75,1.413,
147.5247,1272.7736,1.415,
147.6376,1278.8391,1.421,
147.8171,1284.8776,1.428,
147.869,1290.9815,1.441,
147.9752,1296.9879,1.443,
148.1331,1303.0244,1.454,
148.2564,1308.943,1.457,
148.2952,1315.1676,1.469,
148.4282,1321.3096,1.472,
148.6735,1327.4036,1.481,
148.7968,1333.5347,1.489,
148.8988,1339.6855,1.492,
149.1027,1345.6705,1.505,
149.0915,1351.7627,1.517,
149.3568,1357.8889,1.525,
149.3734,1363.9936,1.526,
149.4795,1370.3266,1.528,
149.574,1376.4838,1.535,
149.7044,1382.5137,1.544,
149.8858,1388.5698,1.555,
149.9491,1394.6245,1.557,
149.9874,1400.8037,1.564,
150.0847,1406.9625,1.57,
150.1869,1413.1139,1.588,
150.4624,1425.2694,1.603,
150.5401,1431.2791,1.605,
150.6512,1437.4098,1.606,
150.7072,1443.4834,1.623,
150.7768,1449.6597,1.627,
150.751,1455.8469,1.633,
150.7832,1461.9227,1.638,
150.8434,1467.9938,1.642,
