"x","z","t",
142.7374,58.258,0,
142.7913,60.4376,0.04,
142.9092,62.5802,0.097,
142.9296,64.729,0.135,
143.0486,66.99,0.165,
143.1375,69.1672,0.209,
143.1656,71.3875,0.24,
143.2091,73.5,0.29,
143.2624,75.7074,0.319,
143.3551,77.8894,0.36,
143.4144,80.2147,0.403,
143.4594,82.3903,0.44,
143.4938,84.5228,0.48,
143.6894,86.7329,0.531,
143.69,88.9337,0.56,
143.7731,91.074,0.6,
143.8136,93.3485,0.645,
143.8611,95.4693,0.682,
143.9337,97.6668,0.72,
143.988,99.9023,0.761,
144.1001,102.012,0.806,
144.1953,104.2313,0.84,
144.1892,106.5252,0.88,
144.2752,108.8822,0.922,
144.3828,110.9988,0.96,
144.3442,113.198,1,
144.4544,115.4328,1.04,
144.5189,117.6167,1.087,
144.6416,119.7266,1.126,
144.6398,122.0314,1.16,
144.7259,124.1769,1.2,
144.7863,126.422,1.251,
144.8396,128.7214,1.291,
144.8848,130.9339,1.332,
144.9645,133.1998,1.372,
145.0201,135.4389,1.4,
145.0026,137.6985,1.442,
145.0149,139.9621,1.48,
145.0752,142.181,1.537,
145.0785,144.4152,1.567,
145.1649,146.6724,1.617,
145.1738,148.8511,1.646,
145.2424,151.0801,1.68,
145.2164,153.3342,1.724,
145.3679,155.4492,1.76,
145.3811,157.7457,1.815,
145.4174,160.0017,1.84,
145.4501,162.2385,1.891,
145.5019,164.4548,1.92,
145.5437,166.6361,1.97,
145.6672,168.7861,2.004,
145.5708,171.0691,2.048,
145.6513,173.2625,2.08,
145.7399,175.3883,2.129,
145.8344,177.6252,2.16,
145.8442,179.8478,2.218,
145.8784,182.1417,2.246,
146.0038,184.3122,2.28,
145.9849,186.5557,2.323,
146.0021,188.7548,2.36,
146.0159,191.0606,2.4,
146.1044,193.2139,2.44,
146.1672,195.4017,2.48,
146.2346,197.6927,2.537,
146.2166,199.9815,2.56,
146.2859,202.139,2.615,
146.2829,204.3496,2.661,
146.4317,206.5423,2.68,
146.4903,208.7651,2.74,
146.4767,210.9677,2.76,
146.5882,213.2269,2.8,
146.6193,215.369,2.845,
146.7177,217.6366,2.88,
146.7173,219.9613,2.92,
146.7558,222.1707,2.96,
146.8354,224.3961,3.004,
146.8835,226.676,3.05,
146.9398,228.821,3.08,
147.0036,231.0742,3.136,
146.9539,233.2091,3.166,
147.102,235.436,3.2,
147.152,237.5814,3.24,
147.2574,239.8313,3.293,
147.2962,242.1016,3.326,
147.3387,244.3927,3.375,
147.4314,246.5507,3.408,
147.499,248.8146,3.453,
147.5181,251.0344,3.48,
147.5747,253.1644,3.533,
147.6385,255.4108,3.56,
147.6189,257.5847,3.6,
147.6446,259.781,3.655,
147.7178,262.0223,3.684,
147.7792,264.2403,3.737,
147.8949,266.4634,3.76,
147.9687,268.6556,3.8,
148.0351,270.7709,3.844,
148.0756,273.0107,3.879,
148.0901,275.1615,3.919,
148.1391,277.4389,3.972,
148.2575,279.6869,3.999,
148.2036,281.8903,4.04,
148.3225,284.1298,4.08,
148.4134,286.3654,4.121,
148.4743,288.5784,4.16,
148.4825,290.6981,4.206,
148.507,293.0906,4.257,
148.5812,295.3407,4.281,
148.6037,297.532,4.336,
148.6696,299.7367,4.361,
148.7289,302.0683,4.409,
148.8046,304.246,4.44,
148.8498,306.4884,4.49,
148.9206,308.6668,4.522,
148.9322,311.0164,4.567,
149.0032,313.2495,4.6,
149.0657,315.4266,4.655,
149.1573,317.675,4.682,
149.2125,319.9188,4.74,
149.2621,322.2356,4.759,
149.2624,324.6454,4.799,
149.4042,326.7413,4.856,
149.4575,329.0238,4.879,
149.5584,331.3319,4.925,
149.5656,333.5987,4.974,
149.6916,335.8138,5.007,
149.7171,338.1092,5.048,
149.7598,340.4763,5.083,
149.9031,342.5907,5.12,
149.8994,345.0207,5.164,
150.0128,347.2616,5.207,
150.1179,349.5287,5.239,
150.1935,351.7878,5.28,
150.2064,354.1693,5.32,
