"x","z","t",
169.6685,79.5785,0,
169.5267,86.0853,0.012,
169.626,92.5153,0.015,
169.6711,98.9176,0.024,
169.7992,105.4145,0.034,
169.7827,111.7837,0.035,
169.9165,118.271,0.043,
169.9035,124.6763,0.05,
170.0151,131.158,0.062,
170.1237,137.6427,0.066,
170.1787,144.1227,0.077,
170.2936,150.7175,0.079,
170.2128,157.1744,0.091,
170.3104,163.7465,0.093,
170.3546,170.194,0.107,
170.5663,176.702,0.11,
170.4682,183.1819,0.116,
170.716,189.6187,0.121,
170.8243,196.0825,0.128,
170.8739,202.5302,0.142,
170.9492,208.9389,0.145,
170.8987,215.6051,0.155,
171.0473,222.0556,0.158,
171.1569,228.4632,0.171,
171.236,235.0448,0.175,
171.2434,241.5586,0.184,
171.2767,247.8771,0.187,
171.289,254.4706,0.193,
171.3952,261.1004,0.206,
171.4041,267.6116,0.21,
171.5329,274.1472,0.22,
171.6095,280.7541,0.223,
171.6628,287.2506,0.229,
171.7415,293.7034,0.235,
171.8435,300.2547,0.242,
171.9186,306.839,0.255,
171.9852,313.3879,0.258,
172.0372,319.8524,0.27,
172.1177,326.3038,0.272,
172.2507,332.8902,0.288,
172.2959,339.3699,0.291,
172.3784,345.9017,0.295,
172.4931,352.4623,0.303,
172.6066,358.9608,0.307,
172.6178,365.3628,0.32,
172.7328,371.8102,0.329,
172.8602,378.2508,0.333,
172.8189,384.8253,0.337,
172.9,391.2668,0.342,
173.0933,397.8356,0.35,
173.1471,404.31,0.362,
173.0823,410.7863,0.365,
173.1775,417.1638,0.378,
173.3595,423.551,0.381,
173.4203,430.0736,0.385,
173.4135,436.5802,0.399,
173.4947,443.1068,0.401,
173.6357,449.7003,0.413,
173.7016,456.1353,0.416,
173.6884,462.6335,0.427,
173.8697,469.0184,0.429,
173.8786,475.4756,0.441,
173.9791,481.915,0.443,
174.0517,488.485,0.452,
174.1127,495.0577,0.457,
174.2517,501.4695,0.464,
174.2829,507.958,0.477,
174.3912,514.5304,0.479,
174.4529,520.9406,0.489,
174.5701,527.4933,0.495,
174.7449,533.9412,0.5,
174.6711,540.436,0.524,
174.8026,546.9247,0.531,
174.888,560.1042,0.532,
174.9458,566.4849,0.535,
175.0999,572.9544,0.542,
175.0559,579.5331,0.561,
175.2166,586.0939,0.563,
175.3071,592.5272,0.567,
175.4148,598.9351,0.576,
175.568,605.3996,0.578,
175.5166,611.9571,0.591,
175.6409,618.436,0.595,
175.8043,631.4739,0.61,
175.8265,637.981,0.62,
175.9224,644.4082,0.625,
175.9856,650.9571,0.629,
176.1138,657.3538,0.642,
176.2879,663.911,0.645,
176.3144,670.3856,0.65,
176.402,676.9355,0.657,
176.5105,683.358,0.671,
176.4894,689.8021,0.68,
176.6621,696.0924,0.685,
176.688,702.4691,0.688,
176.7687,709.0283,0.693,
176.8061,715.3761,0.705,
176.808,721.9093,0.71,
176.9303,728.3174,0.717,
177.0061,734.7685,0.724,
177.107,741.2055,0.728,
177.1795,747.6066,0.735,
177.2515,754.0416,0.753,
177.2514,760.523,0.758,
177.4056,773.4475,0.767,
177.5687,779.8392,0.771,
177.6297,786.3134,0.784,
177.7031,792.674,0.795,
177.8055,799.0014,0.799,
177.8059,805.4881,0.801,
177.9205,811.9678,0.812,
177.9041,818.4731,0.821,
177.9649,824.9719,0.824,
177.9645,831.4262,0.829,
178.0883,837.762,0.837,
178.1643,844.1893,0.843,
178.2795,850.5892,0.85,
178.3125,857.0933,0.863,
178.321,863.465,0.865,
178.3774,869.9312,0.874,
178.4518,876.3853,0.88,
178.5644,882.8171,0.897,
178.5949,889.2031,0.902,
178.6826,895.5644,0.912,
178.7241,902.094,0.913,
178.701,908.6006,0.914,
178.824,915.0013,0.927,
178.7951,921.5399,0.929,
178.8617,928.0361,0.942,
178.8652,934.5798,0.946,
178.9616,940.9713,0.95,
179.0189,947.2868,0.957,
179.0704,953.9525,0.964,
179.1585,960.5826,0.976,
179.1942,967.1652,0.984,
179.0871,973.5922,0.986,
179.2824,980.0125,0.993,
179.447,986.4132,1.011,
