Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.8676,1.469e-05,0.001934
0.9589,2.378e-05,0.002407
1.06,3.307e-05,0.002882
1.171,4.276e-05,0.00336
1.295,5.312e-05,0.003841
1.431,6.463e-05,0.004336
1.582,7.782e-05,0.004843
1.748,9.354e-05,0.00538
1.933,0.0001128,0.00595
2.136,0.0001364,0.006564
2.361,0.000166,0.007231
2.61,0.0002023,0.007964
2.884,0.0002482,0.00877
3.188,0.0003037,0.009664
3.524,0.0003724,0.01066
3.895,0.0004563,0.01176
4.305,0.0005586,0.01298
4.758,0.0006841,0.01435
5.259,0.0008384,0.01587
5.813,0.001027,0.01758
6.425,0.001257,0.01948
7.102,0.001539,0.02161
7.85,0.001887,0.02399
8.676,0.002311,0.02666
9.59,0.002827,0.02965
10.6,0.00345,0.03299
11.72,0.004195,0.03671
12.95,0.005098,0.04087
14.31,0.006183,0.04549
15.82,0.007498,0.05064
17.49,0.009085,0.05634
19.33,0.01103,0.06265
21.36,0.0134,0.06961
23.61,0.01634,0.07727
26.1,0.01996,0.08566
28.85,0.02449,0.09481
31.88,0.03014,0.1047
35.24,0.0372,0.1155
38.95,0.046,0.127
43.05,0.05693,0.1394
47.59,0.07042,0.1525
52.6,0.08692,0.1663
58.13,0.1069,0.1808
64.26,0.1305,0.196
71.02,0.1583,0.2115
78.5,0.1897,0.2278
86.77,0.2251,0.2442
95.9,0.2618,0.2598
106,0.3014,0.2764
117.2,0.3452,0.2946
