Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,1.31
7.94,0,0.961
6.31,0.196,0.575
5.01,0.294,0.482
3.98,0.311,0.413
3.16,0.31,0.385
2.51,0.291,0.343
2,0.318,0.324
1.58,0.27,0.279
1.26,0.266,0.252
1,0.237,0.23
0.794,0.216,0.205
0.631,0.201,0.189
0.501,0.175,0.17
0.398,0.157,0.154
0.316,0.137,0.139
0.251,0.119,0.127
0.2,0.104,0.112
0.158,0.0898,0.101
0.126,0.0772,0.0901
0.1,0.0656,0.0796
0.0794,0.0554,0.0707
0.0631,0.0464,0.0626
0.0501,0.0383,0.0552
0.0398,0.0313,0.0483
0.0316,0.0251,0.0421
0.0251,0.0198,0.0365
0.02,0.0153,0.0313
0.0158,0.0116,0.0267
0.0126,0.00872,0.0225
0.01,0.00646,0.0188
