Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0.718,1.28
7.94,1.01,0.87
6.31,0.977,0.674
5.01,0.869,0.554
3.98,0.71,0.522
3.16,0.574,0.492
2.51,0.478,0.388
2,0.404,0.334
1.58,0.389,0.325
1.26,0.336,0.299
1,0.309,0.266
0.794,0.272,0.251
0.631,0.245,0.227
0.501,0.22,0.206
0.398,0.191,0.187
0.316,0.168,0.169
0.251,0.147,0.153
0.2,0.128,0.138
0.158,0.111,0.123
0.126,0.0947,0.111
0.1,0.0809,0.0986
0.0794,0.069,0.0874
0.0631,0.0581,0.078
0.0501,0.0487,0.0688
0.0398,0.0403,0.0605
0.0316,0.033,0.0531
0.0251,0.0267,0.0463
0.02,0.0213,0.0402
0.0158,0.0168,0.0347
0.0126,0.0129,0.0297
0.01,0.00981,0.0253
