Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.0006598,2.308e-09,9.94e-05
0.0008484,1.584e-09,9.941e-05
0.001091,6.525e-10,9.942e-05
0.001403,5.445e-10,9.944e-05
0.001804,2.084e-09,9.947e-05
0.002319,4.062e-09,9.95e-05
0.002982,6.604e-09,9.954e-05
0.003834,9.869e-09,9.96e-05
0.00493,1.406e-08,9.968e-05
0.00634,1.943e-08,9.979e-05
0.008152,2.629e-08,9.997e-05
0.01048,3.503e-08,0.0001003
0.01348,4.572e-08,0.0001007
0.01733,5.782e-08,0.0001015
0.02228,7.15e-08,0.0001028
0.02865,8.619e-08,0.000105
0.03684,1.007e-07,0.0001086
0.04737,1.133e-07,0.0001146
0.06091,1.213e-07,0.0001246
0.07832,1.226e-07,0.0001411
0.1007,1.19e-07,0.0001682
0.1295,1.255e-07,0.0002127
0.1665,1.952e-07,0.0002852
0.2141,4.616e-07,0.0004013
0.2753,1.015e-06,0.0005849
0.354,2.208e-06,0.0008844
0.4552,4.735e-06,0.001336
0.5853,1.004e-05,0.001942
0.7525,2.006e-05,0.002668
0.9676,3.506e-05,0.003574
1.244,5.79e-05,0.004688
1.6,9.787e-05,0.006083
2.057,0.0001656,0.007847
2.645,0.0002752,0.01008
3.401,0.0004519,0.01294
4.373,0.0007435,0.01665
5.623,0.001233,0.02156
7.231,0.002053,0.02808
9.297,0.003406,0.03676
11.95,0.005599,0.04827
15.37,0.009109,0.06337
19.77,0.01474,0.08289
25.41,0.024,0.1077
32.68,0.03973,0.1384
42.02,0.06698,0.1755
54.03,0.1139,0.2188
69.47,0.1905,0.2678
89.33,0.3062,0.3214
114.9,0.4602,0.3767
147.7,0.6428,0.4353
