"x","z","t",
143.0292,139.0524,0,
142.9209,141.4482,0.015,
142.988,143.6897,0.026,
142.8836,145.9364,0.063,
142.7961,148.2597,0.066,
142.7936,150.6105,0.086,
142.7053,152.8182,0.106,
142.7324,155.0634,0.147,
142.7952,157.3906,0.165,
142.7947,159.5973,0.167,
142.6936,162.044,0.209,
142.6598,164.4554,0.215,
142.5896,166.7242,0.242,
142.5579,169.1351,0.254,
142.5499,171.3962,0.266,
142.6066,173.7787,0.298,
142.6346,176.1251,0.319,
142.5805,178.3998,0.331,
142.641,180.5634,0.346,
142.6016,183.0074,0.379,
142.5226,185.5186,0.388,
142.4509,187.7926,0.421,
142.5971,189.9446,0.431,
142.5944,192.5648,0.446,
142.4933,194.7438,0.479,
142.5699,197.0476,0.5,
142.7038,199.3333,0.509,
142.5388,201.713,0.543,
142.649,203.9994,0.546,
142.6535,206.3247,0.566,
142.7305,208.6952,0.602,
142.8532,211.1206,0.606,
142.7966,213.4684,0.626,
142.8199,215.7677,0.657,
142.9735,218.0617,0.666,
142.9512,220.4775,0.698,
142.9557,222.9246,0.72,
142.8654,225.1576,0.735,
142.9549,227.4079,0.746,
142.9863,229.766,0.771,
142.9569,232.2072,0.801,
142.9293,234.4927,0.81,
142.9393,236.786,0.836,
142.9707,239.0468,0.847,
143.0157,241.4868,0.866,
143.0448,243.8318,0.895,
143.1434,246.144,0.906,
143.0505,248.5984,0.926,
143.1227,250.875,0.96,
143.0534,253.2716,0.977,
143.1028,255.7289,0.986,
143.1624,258.1268,1.02,
143.1603,260.3672,1.043,
143.2371,262.6709,1.051,
143.413,265.2034,1.066,
143.2904,267.5716,1.101,
143.4212,269.7758,1.106,
143.3558,272.1632,1.138,
143.4383,274.5548,1.146,
143.4487,276.9775,1.182,
143.4529,279.387,1.186,
143.5408,281.5862,1.215,
143.7026,283.9762,1.241,
143.8867,286.3788,1.252,
143.9113,288.6866,1.266,
143.8919,291.1483,1.295,
143.8466,293.6323,1.322,
143.9866,295.7901,1.329,
144.0007,298.1688,1.353,
143.9759,300.4247,1.366,
144.0351,302.7039,1.386,
144.0758,305.0154,1.421,
144.0545,307.3192,1.426,
144.0227,309.7423,1.459,
144.1907,312.1224,1.466,
144.2208,314.3159,1.501,
144.2741,316.5357,1.506,
144.3093,318.7925,1.537,
144.372,321.0342,1.561,
144.328,323.4894,1.573,
144.3315,325.9031,1.586,
144.3374,328.2541,1.615,
144.4332,330.5701,1.638,
144.4529,332.8847,1.652,
144.3157,335.2969,1.666,
144.3333,337.5048,1.697,
144.303,339.9025,1.721,
144.2689,342.2863,1.73,
144.3038,344.6538,1.761,
144.2959,347.0278,1.766,
144.2088,349.3183,1.804,
144.2159,351.655,1.807,
144.2225,353.9282,1.832,
144.3119,356.3209,1.849,
144.313,358.5545,1.866,
144.2061,361.0237,1.886,
144.2505,363.1988,1.92,
144.2381,365.507,1.945,
144.3331,367.8153,1.957,
144.3317,370.2584,1.966,
144.3622,372.6916,1.986,
144.2114,375.1196,2.018,
144.3059,377.602,2.039,
144.3292,379.7823,2.046,
144.3566,382.1548,2.081,
144.2625,384.4548,2.089,
144.3438,386.7362,2.125,
144.2965,389.1686,2.13,
144.1641,391.594,2.166,
144.0903,393.9097,2.167,
144.0401,396.2579,2.186,
143.9513,398.5927,2.221,
143.8245,400.911,2.228,
143.8585,403.2804,2.246,
143.7928,405.697,2.281,
143.9021,407.951,2.293,
143.8186,410.3957,2.306,
143.8076,412.7852,2.326,
143.8396,415.0537,2.361,
143.7426,417.3912,2.366,
143.7072,419.6631,2.386,
143.7918,422.0789,2.414,
143.7468,424.3955,2.426,
143.7547,426.7792,2.456,
143.766,429.1188,2.481,
143.5255,431.4061,2.492,
143.64,433.8342,2.506,
143.5097,436.1981,2.535,
143.5782,438.6621,2.567,
143.6366,440.9881,2.572,
143.6038,443.3398,2.586,
143.5673,445.5885,2.615,
143.5305,447.939,2.639,
143.5351,450.3993,2.646,
143.4829,452.7281,2.679,
143.52,455.125,2.686,
143.4901,457.5488,2.706,
143.4404,460.02,2.745,
143.4269,462.2889,2.747,
143.4519,464.7326,2.766,
143.4751,467.1592,2.786,
143.4657,469.5577,2.814,
143.5975,472.0384,2.845,
143.5075,474.3344,2.847,
143.572,476.8483,2.882,
143.5184,479.2524,2.886,
143.6141,481.4127,2.92,
143.5489,483.8758,2.927,
143.4865,486.2281,2.96,
143.4636,488.583,2.981,
143.5791,490.9269,2.994,
143.5814,493.3218,3.006,
143.3931,495.7927,3.038,
143.4299,498.194,3.066,
143.5173,500.47,3.074,
143.5674,502.8902,3.086,
143.5056,505.2138,3.119,
143.5631,507.6551,3.143,
143.5689,510.0219,3.148,
143.6384,512.3153,3.181,
143.6482,514.782,3.19,
143.6453,517.2125,3.221,
143.6417,519.5935,3.232,
143.6393,521.8466,3.261,
143.637,524.2346,3.27,
143.5976,526.5506,3.304,
143.6301,528.9814,3.312,
143.5723,531.2037,3.341,
143.5822,533.7321,3.346,
143.5922,536.0842,3.38,
143.6433,538.5947,3.386,
143.6778,541.0237,3.424,
143.5917,543.4478,3.426,
143.6186,545.8575,3.456,
143.7704,548.1605,3.481,
143.6739,550.5409,3.494,
143.8554,552.8266,3.506,
143.8314,555.1854,3.537,
143.8283,557.6754,3.566,
143.8568,559.8989,3.571,
143.874,562.2347,3.586,
143.8278,564.6576,3.606,
143.8353,566.928,3.633,
144.0944,569.371,3.646,
143.913,571.7092,3.666,
144.0189,574.1305,3.701,
144.1789,576.6352,3.706,
144.0877,578.9146,3.726,
144.1438,581.2874,3.753,
144.0878,583.6504,3.766,
144.0617,585.8731,3.798,
143.9726,588.1691,3.806,
144.0708,590.5427,3.841,
144.05,592.8092,3.846,
144.0074,595.2248,3.879,
144.1389,597.5888,3.886,
144.1854,599.8148,3.921,
144.2294,602.2228,3.926,
144.2791,604.5935,3.955,
144.3161,606.9252,3.989,
144.3828,609.1477,3.992,
144.4743,611.5274,4.006,
144.4167,613.9044,4.035,
144.499,616.14,4.061,
144.4951,618.4522,4.068,
144.4612,620.7473,4.101,
144.6305,623.0748,4.106,
144.6031,625.5206,4.141,
144.5697,627.9306,4.148,
144.7052,630.1166,4.179,
144.7649,632.3903,4.186,
144.7668,634.8666,4.224,
144.7198,637.1867,4.228,
144.7737,639.5008,4.246,
144.6811,641.9028,4.266,
144.7975,644.2147,4.298,
144.7407,646.6108,4.306,
144.8735,648.938,4.341,
144.915,651.4019,4.346,
144.9393,653.6417,4.38,
144.8894,655.8825,4.386,
144.9359,658.2973,4.421,
144.8524,660.6505,4.429,
144.963,662.9348,4.457,
144.9045,665.4065,4.468,
144.9767,667.7609,4.499,
144.9849,670.1114,4.506,
144.9926,672.5629,4.537,
145.0298,675.0236,4.564,
145.0203,677.3728,4.572,
145.0212,679.8582,4.602,
145.0237,682.1546,4.608,
145.2227,684.5803,4.648,
145.3111,686.9908,4.652,
145.2,689.2149,4.686,
145.2972,691.395,4.688,
145.4536,693.9977,4.721,
145.4754,696.237,4.731,
145.6167,698.6705,4.761,
145.6551,701.0139,4.766,
145.673,703.3818,4.8,
145.7229,705.6376,4.806,
145.8328,708.0704,4.826,
145.9967,710.4471,4.861,
145.9808,712.8597,4.866,
145.8912,715.1524,4.898,
145.8616,717.4286,4.906,
145.9237,719.8209,4.941,
146.0695,722.2224,4.946,
146.0557,724.5434,4.974,
146.215,727.0518,5.001,
146.3066,729.3009,5.012,
146.2871,731.6498,5.026,
146.2792,734.1169,5.054,
146.4013,736.4572,5.083,
146.4189,738.8316,5.09,
146.4431,741.1893,5.106,
146.5159,743.5949,5.134,
146.6124,745.9482,5.165,
146.6507,748.2122,5.167,
146.6685,750.6742,5.201,
146.665,753.0414,5.206,
146.6436,755.2714,5.241,
146.669,757.663,5.247,
146.705,759.9699,5.28,
146.8823,762.2085,5.301,
146.9244,764.615,5.315,
146.9772,766.9664,5.326,
146.9572,769.2347,5.358,
146.978,771.575,5.381,
146.904,773.8045,5.395,
146.846,775.9595,5.406,
146.8541,778.1507,5.438,
146.9105,780.4467,5.465,
146.878,782.6778,5.47,
146.8698,784.9884,5.501,
146.826,787.2887,5.508,
146.9288,789.5118,5.548,
147.0486,791.7951,5.551,
146.9302,794.0875,5.581,
146.9594,796.3153,5.586,
146.9854,798.5458,5.606,
147.0316,800.7093,5.641,
146.9861,802.7978,5.648,
147.0016,804.95,5.671,
147.0048,807.3988,5.701,
147.0825,809.5401,5.716,
147.0926,811.8964,5.726,
147.2358,814.1582,5.761,
147.2671,818.5788,5.796,
147.2162,820.8538,5.815,
147.3425,822.935,5.831,
147.2213,825.194,5.86,
147.2096,827.4689,5.873,
147.3685,831.9921,5.909,
147.4575,834.2042,5.926,
147.4122,836.5708,5.965,
147.2915,838.5868,5.97,
147.2467,841.0137,6.001,
147.3846,843.1808,6.006,
147.3997,845.4215,6.038,
147.3892,847.6661,6.046,
147.4803,849.9381,6.081,
147.3732,852.0622,6.086,
147.2839,854.3552,6.118,
147.4803,856.5098,6.126,
147.4192,858.7753,6.161,
147.4654,860.8844,6.166,
147.3427,863.0932,6.194,
147.3674,865.1592,6.221,
147.4071,867.361,6.233,
147.4412,869.5996,6.246,
147.2924,871.755,6.275,
147.2931,874.0231,6.301,
147.3354,876.2417,6.312,
147.3408,878.3822,6.326,
147.2663,880.4206,6.354,
147.2061,882.5712,6.386,
147.1393,884.6574,6.387,
147.0309,886.8741,6.421,
146.9688,889.1292,6.426,
147.0185,891.3215,6.461,
146.9328,893.5616,6.467,
146.851,895.695,6.498,
146.8098,897.925,6.527,
146.6663,900.0909,6.536,
146.6346,902.2761,6.546,
146.7005,904.5532,6.58,
146.6048,906.7049,6.601,
146.5932,908.8541,6.614,
146.4825,911.1799,6.644,
146.5186,913.3211,6.65,
146.394,915.5848,6.687,
146.2855,917.8459,6.692,
146.3563,919.9992,6.706,
146.2762,922.2935,6.726,
146.1667,924.3946,6.761,
146.1555,926.586,6.766,
146.157,928.8755,6.801,
145.9826,931.1056,6.807,
145.9892,933.3001,6.842,
145.9883,935.5628,6.846,
145.8884,937.838,6.881,
145.9137,939.9707,6.887,
146.0294,942.1472,6.92,
145.9749,944.4982,6.941,
146.0442,946.7163,6.955,
145.9985,948.9172,6.966,
145.9622,950.9373,6.998,
145.9649,953.3908,7.021,
146.0137,955.5763,7.035,
145.9471,957.83,7.046,
146.008,960.2072,7.078,
145.9374,962.3528,7.101,
146.0396,964.5851,7.11,
145.999,966.8995,7.141,
146.0174,968.9898,7.148,
145.9269,971.3268,7.181,
146.0658,973.5137,7.186,
146.0197,975.843,7.221,
146.0571,978.1969,7.226,
146.2333,980.4308,7.258,
146.2361,982.5637,7.266,
146.1694,984.9837,7.301,
146.2595,987.2335,7.306,
146.3243,989.4788,7.338,
146.3786,991.7848,7.346,
146.3024,994.0199,7.382,
146.2678,996.3061,7.386,
146.446,998.6225,7.416,
146.4708,1000.9379,7.441,
146.4156,1003.1185,7.452,
146.5932,1005.4822,7.466,
146.6279,1007.759,7.494,
146.6571,1010.0483,7.521,
146.6809,1012.266,7.532,
146.7377,1014.5608,7.546,
146.8446,1016.7669,7.579,
146.7207,1019.0786,7.601,
146.7349,1021.4881,7.609,
146.8455,1025.9625,7.646,
