"x","z","t",
155.3106,73.7692,0,
155.2377,78.6013,0.007,
155.2927,83.4749,0.027,
155.3083,88.2272,0.031,
155.4044,92.973,0.042,
155.4484,97.7912,0.043,
155.3844,102.6452,0.044,
155.4574,107.5973,0.05,
155.3786,112.4097,0.057,
155.3594,117.3174,0.071,
155.5284,122.1226,0.073,
155.5501,126.9081,0.082,
155.6063,131.8296,0.087,
155.5818,136.643,0.104,
155.6227,146.421,0.119,
155.5741,151.228,0.12,
155.571,156.075,0.121,
155.6833,160.9991,0.131,
155.6822,165.9371,0.136,
155.71,170.8485,0.148,
155.7976,175.7919,0.151,
155.8098,180.7183,0.164,
155.8568,185.4678,0.166,
155.9372,190.2721,0.171,
155.8722,195.1565,0.184,
155.9302,200.051,0.186,
155.9069,204.9684,0.193,
155.973,209.8712,0.2,
155.9152,214.8015,0.212,
155.9942,219.6921,0.215,
156.0101,224.6143,0.227,
156.1258,229.4851,0.229,
156.0363,234.3996,0.236,
156.1523,239.1932,0.255,
156.1974,244.0332,0.26,
156.1864,248.9228,0.266,
156.2824,253.7554,0.269,
156.3127,258.7458,0.271,
156.4017,263.5566,0.278,
156.3535,268.5471,0.296,
156.3587,273.4539,0.312,
156.3019,278.4166,0.313,
156.356,288.0369,0.314,
156.4456,293.0321,0.332,
156.4762,297.9238,0.342,
156.5235,302.8335,0.349,
156.6073,312.6636,0.35,
156.6797,317.5475,0.357,
156.7091,322.4796,0.364,
156.6922,327.3554,0.378,
156.6173,332.261,0.38,
156.7729,337.0994,0.393,
156.8075,341.9363,0.395,
156.7942,346.7309,0.405,
156.8336,351.6254,0.409,
156.9001,356.3735,0.42,
156.8636,361.1819,0.425,
156.9421,366.0645,0.428,
156.9006,370.9594,0.449,
156.9143,375.8356,0.453,
156.9618,380.8012,0.458,
156.9676,385.544,0.462,
157.0837,390.4903,0.464,
157.0963,395.2181,0.471,
157.0754,400.0925,0.478,
157.2582,404.8765,0.496,
157.1759,409.754,0.506,
157.2731,414.6522,0.507,
157.3737,419.5344,0.508,
157.2985,424.4599,0.52,
157.4018,429.3423,0.527,
157.4884,434.2118,0.535,
157.6144,439.1788,0.54,
157.6693,444.0695,0.543,
157.6963,448.9864,0.562,
157.6837,453.8093,0.565,
157.7274,458.7058,0.57,
157.6358,463.5602,0.575,
157.6795,468.5987,0.578,
157.7173,473.4912,0.586,
157.7888,478.4243,0.603,
157.785,483.3505,0.615,
157.8441,488.2439,0.619,
157.9547,493.1139,0.62,
158.0607,497.9142,0.621,
