run ,run_particle,frame_rate [fps],particle_type
1,1,140,S_3
2,2,140,S_3
3,3,140,S_3
4,4,140,S_3
5,5,140,S_3
6,1,40,S_1.5
7,2,40,S_1.5
8,3,40,S_1.5
9,4,40,S_1.5
10,5,40,S_1.5
11,1,20,D_3
12,2,20,D_3
13,3,20,D_3
14,4,20,D_3
15,5,20,D_3
16,1,15,D_2.5
17,2,15,D_2.5
18,3,15,D_2.5
19,4,15,D_2.5
20,5,15,D_2.5
21,1,10,D_2
22,2,10,D_2
23,3,10,D_2
24,4,10,D_2
25,5,10,D_2
26,1,6,D_1.5
27,2,10,D_1.5
