Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.337,2.89e-06,0.0007663
0.3815,4.164e-06,0.0009535
0.4318,5.577e-06,0.001152
0.4889,7.118e-06,0.001352
0.5534,8.902e-06,0.001558
0.6265,1.102e-05,0.001781
0.7092,1.371e-05,0.00202
0.8028,1.734e-05,0.002288
0.9088,2.22e-05,0.00259
1.029,2.873e-05,0.002932
1.165,3.742e-05,0.00332
1.318,4.874e-05,0.003763
1.492,6.323e-05,0.004267
1.69,8.195e-05,0.004839
1.913,0.0001057,0.005489
2.165,0.0001358,0.006224
2.451,0.0001736,0.007056
2.775,0.0002216,0.007999
3.141,0.0002841,0.009072
3.556,0.0003663,0.0103
4.025,0.0004731,0.0117
4.557,0.0006124,0.01331
5.158,0.0007942,0.01515
5.839,0.001026,0.01726
6.61,0.001325,0.01968
7.483,0.001711,0.02246
8.471,0.0022,0.02565
9.589,0.002826,0.02932
10.86,0.003626,0.03353
12.29,0.004627,0.03836
13.91,0.005901,0.0439
15.75,0.007509,0.05024
17.83,0.009538,0.05746
20.18,0.01214,0.06568
22.85,0.01544,0.07498
25.86,0.01969,0.08546
29.28,0.02524,0.09718
33.14,0.03238,0.1102
37.52,0.04189,0.1246
42.47,0.05429,0.1404
48.08,0.07059,0.1576
54.43,0.09194,0.1761
61.61,0.1191,0.196
69.75,0.1538,0.2169
78.96,0.1964,0.239
89.38,0.2478,0.2618
101.2,0.3079,0.2854
114.5,0.3748,0.3088
129.7,0.4456,0.3319
146.8,0.5257,0.3581
