Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,10.6,1.34
7.94,6.1,0.788
6.31,0.571,0.57
5.01,0.571,0.476
3.98,0.572,0.405
3.16,0.454,0.372
2.51,0.436,0.326
2,0.409,0.311
1.58,0.327,0.271
1.26,0.297,0.216
1,0.256,0.233
0.794,0.234,0.208
0.631,0.205,0.187
0.501,0.185,0.17
0.398,0.162,0.155
0.316,0.142,0.139
0.251,0.123,0.124
0.2,0.108,0.112
0.158,0.0934,0.101
0.126,0.0808,0.0899
0.1,0.0691,0.0798
0.0794,0.0593,0.071
0.0631,0.0505,0.0629
0.0501,0.0426,0.0556
0.0398,0.036,0.0488
0.0316,0.0302,0.0428
0.0251,0.0252,0.0373
0.02,0.0209,0.0324
0.0158,0.0176,0.028
0.0126,0.0147,0.0241
0.01,0.0127,0.0207
