"x","z","t",
107.5791,67.9632,0,
107.5372,69.6387,0.029,
107.5277,71.3557,0.069,
107.573,73.1578,0.109,
107.5448,74.7741,0.153,
107.5968,76.5103,0.189,
107.5659,78.3146,0.242,
107.6158,80.0115,0.269,
107.651,81.8219,0.311,
107.5785,83.4821,0.349,
107.6241,85.2327,0.403,
107.5806,87.0655,0.429,
107.5853,88.6992,0.469,
107.648,90.5886,0.516,
107.5483,92.3283,0.55,
107.6303,94.1535,0.589,
107.5727,96.1071,0.629,
107.6072,97.8616,0.669,
107.5797,99.6737,0.723,
107.5258,101.4494,0.749,
107.5011,103.2673,0.791,
107.4009,105.1646,0.829,
107.4469,106.9336,0.87,
107.3969,108.6712,0.915,
107.4167,110.5392,0.949,
107.4244,112.3684,0.989,
107.4067,114.1819,1.03,
107.3334,116.0535,1.069,
107.3763,117.7525,1.11,
107.3603,119.5635,1.16,
107.3347,121.2704,1.189,
107.3333,123.0013,1.229,
107.3913,124.7054,1.269,
107.3498,126.339,1.309,
107.3807,127.9996,1.349,
107.4865,129.8462,1.39,
107.3989,131.388,1.435,
107.5519,133.0631,1.469,
107.5218,134.7913,1.515,
107.4733,136.7215,1.549,
107.3726,138.5206,1.589,
107.5109,140.2411,1.629,
107.431,141.935,1.682,
107.4695,143.8511,1.709,
107.3393,145.6718,1.749,
107.3019,147.4867,1.789,
107.2625,149.2743,1.843,
107.3111,151.0382,1.869,
107.3283,152.7671,1.92,
107.2681,154.4453,1.949,
107.3044,156.2544,2.005,
107.2381,158.0661,2.035,
107.1318,159.9232,2.069,
107.2712,161.5639,2.109,
107.1264,163.4137,2.149,
107.3285,165.121,2.205,
107.1198,166.898,2.241,
107.2375,168.7876,2.269,
107.0414,170.5948,2.309,
107.0749,172.3114,2.359,
106.9743,174.1199,2.391,
107.0894,175.916,2.436,
106.9202,177.841,2.469,
106.9578,179.5407,2.509,
106.9005,181.3817,2.553,
106.9762,183.0775,2.589,
106.8879,184.9897,2.63,
