"x","z","t",
109.4619,57.5781,0,
109.518,59.5499,0.096,
109.4738,61.8385,0.166,
109.4449,64.0954,0.25,
109.4514,66.1598,0.333,
109.423,68.3199,0.416,
109.4537,70.5423,0.499,
109.4459,72.6409,0.583,
109.5241,74.5013,0.666,
109.4376,76.9724,0.75,
109.4941,78.8331,0.833,
109.475,81.1237,0.916,
109.5072,83.1212,1,
109.5464,85.3912,1.083,
109.4826,87.5655,1.166,
109.604,89.8309,1.25,
109.5936,91.6667,1.333,
109.6141,94.0822,1.416,
109.632,96.2493,1.499,
109.6037,98.4404,1.583,
109.5758,100.506,1.666,
109.6188,102.7893,1.75,
109.6223,104.9293,1.833,
109.583,106.915,1.916,
109.5834,109.1682,2,
109.5381,111.3215,2.083,
109.5995,113.2908,2.166,
109.4898,115.4639,2.249,
109.479,117.6685,2.333,
109.5076,119.7153,2.416,
109.5014,121.9863,2.499,
109.4284,124.2619,2.583,
109.4876,126.2169,2.666,
109.5492,128.1626,2.749,
109.4276,130.4924,2.833,
109.4336,132.6657,2.916,
109.4145,134.8484,2.999,
109.4332,136.9677,3.083,
109.462,138.8718,3.166,
109.3848,141.1124,3.249,
109.428,143.1021,3.333,
109.3611,145.1721,3.416,
109.3665,147.4659,3.502,
109.3371,149.8222,3.584,
109.3362,151.8496,3.666,
109.2938,154.1229,3.749,
109.2479,156.1572,3.833,
109.2403,158.2418,3.916,
109.2723,160.4085,3.999,
109.2071,162.5688,4.083,
109.1783,164.5963,4.166,
109.2361,166.7923,4.249,
109.2218,168.9605,4.333,
109.1293,171.1278,4.416,
109.1513,173.2913,4.499,
109.1713,175.4582,4.583,
109.1001,177.7232,4.666,
109.2427,179.6616,4.749,
109.1825,181.8705,4.844,
109.1811,184.0139,4.925,
109.171,186.0731,4.999,
109.1681,188.1583,5.083,
109.2749,190.1575,5.166,
109.2402,192.4427,5.249,
109.188,194.383,5.333,
109.2542,196.6536,5.416,
109.2985,198.6639,5.499,
109.2424,200.7368,5.583,
109.2242,202.9526,5.666,
109.2145,204.7493,5.749,
109.2721,206.9691,5.833,
109.2288,208.8898,5.916,
109.2486,211.0071,5.999,
109.2504,213.0506,6.083,
109.2175,215.185,6.166,
109.187,217.3045,6.249,
109.2769,219.2869,6.336,
109.2355,221.5078,6.416,
109.221,223.5552,6.499,
109.1705,225.6132,6.583,
109.2112,227.6193,6.666,
109.2299,229.6825,6.749,
109.2026,231.8161,6.833,
109.1818,233.8094,6.916,
109.1775,235.7807,6.999,
109.0681,237.7507,7.083,
109.0686,240.0277,7.166,
109.1016,241.984,7.249,
109.0462,244.1532,7.333,
109.0798,246.418,7.416,
109.0406,248.2841,7.499,
108.9927,250.5036,7.583,
108.9809,252.6422,7.667,
109.0119,254.7615,7.749,
109.0074,256.8735,7.836,
108.957,258.9258,7.916,
108.8886,261.1818,7.999,
108.8348,263.3894,8.083,
108.7822,265.4781,8.166,
108.7696,267.6632,8.249,
108.7871,269.8399,8.333,
108.7076,272.0102,8.416,
108.6892,274.271,8.499,
108.5932,276.4816,8.583,
108.6224,278.3879,8.666,
108.6342,280.5988,8.749,
108.5941,282.8963,8.833,
108.5067,285.1943,8.916,
108.5295,287.2035,8.999,
108.4575,289.3636,9.083,
108.3531,291.4748,9.166,
108.3953,293.587,9.249,
108.3289,295.8207,9.333,
108.2692,298.3269,9.416,
108.2033,300.1899,9.499,
108.1034,302.7316,9.584,
108.1338,304.6286,9.666,
108.0288,306.8968,9.749,
108.0396,308.997,9.833,
107.9741,310.9954,9.916,
107.887,313.3115,9.999,
107.7805,315.2851,10.083,
107.761,317.6271,10.166,
107.7086,319.7239,10.249,
107.6806,321.7978,10.333,
107.5706,324.3021,10.416,
107.5294,326.537,10.499,
107.5138,328.5428,10.583,
107.4755,330.6825,10.666,
107.4954,332.6748,10.749,
107.5008,334.933,10.833,
107.4946,336.9553,10.916,
107.4131,339.2317,10.999,
107.4084,341.354,11.085,
107.3665,343.7547,11.166,
107.3101,345.7519,11.249,
107.2554,348.0387,11.333,
107.2955,350.1477,11.416,
107.2766,352.5094,11.499,
107.2222,354.7089,11.582,
107.2504,356.9969,11.666,
107.2292,359.1695,11.749,
107.2013,361.2343,11.833,
107.119,363.5952,11.916,
107.1646,365.4968,12.002,
107.1413,367.854,12.084,
107.0504,370.2126,12.166,
107.0316,372.2291,12.249,
107.0577,374.312,12.333,
107.0298,376.5329,12.432,
106.9047,378.8766,12.499,
106.8571,381.3281,12.584,
106.7962,383.4581,12.666,
106.7311,385.4654,12.749,
106.7239,387.468,12.832,
106.6531,389.9484,12.916,
106.5852,391.9795,12.999,
106.5338,394.1994,13.083,
106.4144,396.5904,13.166,
106.5118,398.6546,13.249,
106.457,400.6672,13.333,
106.3407,402.9667,13.416,
106.325,405.1507,13.499,
106.274,407.337,13.583,
106.2453,409.3671,13.666,
106.1685,411.8157,13.749,
106.2196,413.8752,13.833,
106.1311,415.9652,13.916,
106.019,417.9826,13.999,
106.0297,420.3067,14.085,
106.0127,422.5578,14.166,
105.9316,424.725,14.251,
105.8772,426.8437,14.332,
105.8585,428.7075,14.416,
105.7635,431.1492,14.499,
105.7145,433.2041,14.583,
105.7093,435.3978,14.666,
105.6438,437.3003,14.749,
105.6413,439.4857,14.836,
105.538,441.8304,14.916,
105.5453,443.7154,14.999,
105.4119,446.0304,15.083,
105.3803,448.1537,15.166,
105.3371,450.3774,15.249,
105.2512,452.2738,15.333,
105.1814,454.4639,15.416,
105.0717,456.578,15.499,
105.0144,458.8224,15.583,
104.9711,460.87,15.666,
104.853,462.8275,15.766,
104.8195,465.107,15.842,
104.7323,467.1496,15.916,
104.6082,469.267,15.999,
104.4648,471.5117,16.083,
104.4521,473.2637,16.166,
104.3276,475.3339,16.249,
104.252,477.411,16.332,
104.2285,479.5227,16.416,
104.0805,481.4799,16.499,
104.0219,483.4438,16.583,
103.8811,485.5884,16.666,
103.7713,487.5765,16.749,
103.6739,489.8245,16.832,
103.6308,491.5062,16.916,
103.4821,493.8103,16.999,
103.3909,495.7535,17.084,
103.3058,497.624,17.166,
103.2066,499.903,17.249,
103.1393,501.6557,17.332,
103.0174,503.5981,17.416,
102.9342,505.6426,17.499,
102.9165,507.4441,17.582,
102.8449,509.2785,17.666,
102.7368,511.374,17.749,
102.7277,513.5255,17.832,
102.5913,515.5641,17.916,
102.5934,517.4905,17.999,
102.5764,519.4443,18.082,
102.524,521.7163,18.166,
102.4864,523.904,18.249,
102.5272,526.0064,18.332,
102.3965,527.9567,18.416,
102.5063,529.9022,18.499,
102.4331,531.9575,18.582,
102.3888,534.168,18.666,
102.3349,536.0348,18.749,
102.29,538.2345,18.833,
102.3101,540.2136,18.916,
102.1937,542.427,18.999,
102.2294,544.1804,19.085,
102.1721,546.4147,19.166,
102.1897,548.326,19.249,
102.1764,550.5008,19.332,
102.128,552.534,19.421,
102.1094,554.6704,19.499,
102.0734,556.7703,19.582,
102.1343,558.8705,19.666,
102.1661,560.9812,19.749,
102.1083,562.9309,19.832,
102.0525,565.2083,19.916,
102.049,567.3965,19.999,
102.0859,569.1749,20.086,
102.0447,571.3738,20.166,
101.9664,573.8624,20.249,
101.9094,575.9062,20.332,
101.8906,578.1157,20.416,
101.845,580.1629,20.499,
101.7769,582.3402,20.582,
101.7639,584.6529,20.666,
101.7968,586.4384,20.749,
101.7488,589.0811,20.842,
101.7005,591.0998,20.923,
101.6434,593.4168,20.999,
101.6232,595.1653,21.082,
101.5908,597.267,21.166,
101.6035,599.5971,21.249,
101.5276,601.6003,21.332,
101.533,603.6399,21.416,
101.5055,605.8357,21.501,
101.4344,607.9094,21.582,
101.3746,609.9635,21.666,
101.4403,612.1478,21.749,
101.3454,614.281,21.848,
101.3145,616.3475,21.934,
101.2206,618.9889,22.004,
101.2543,620.8085,22.082,
101.1805,623.1633,22.166,
101.1698,625.5125,22.249,
100.9827,627.4693,22.332,
101.022,629.6756,22.416,
100.9564,631.7944,22.499,
100.97,633.7524,22.582,
100.8709,635.9654,22.666,
100.8504,638.0047,22.75,
100.7174,640.0502,22.832,
100.6792,642.467,22.916,
100.664,644.1909,22.999,
100.6289,646.441,23.082,
100.4675,649.0666,23.166,
100.4469,650.7956,23.249,
100.4092,653.2559,23.332,
100.3095,655.2746,23.416,
100.3106,657.1553,23.499,
100.1798,659.4653,23.582,
100.1858,661.6488,23.666,
100.2394,663.8654,23.749,
100.1555,665.8865,23.842,
100.0986,668.0632,23.916,
100.0469,670.1313,23.999,
100.0185,672.4176,24.082,
99.9425,674.7562,24.166,
99.92,676.9154,24.251,
99.8484,679.1547,24.334,
99.813,681.3801,24.416,
