"x","z","t",
148.7822,81.0844,0,
148.8208,83.3371,0.007,
148.9032,85.4672,0.036,
148.9053,87.4479,0.042,
148.9683,89.609,0.043,
149.2279,91.597,0.052,
149.1277,93.4397,0.063,
149.2636,95.4825,0.074,
149.1846,97.5842,0.093,
149.2666,99.6747,0.102,
149.3066,101.7302,0.109,
149.329,104.0271,0.118,
149.4337,106.1135,0.142,
149.4512,108.3038,0.153,
149.3453,110.386,0.155,
149.4472,112.409,0.17,
149.5338,114.6382,0.175,
149.5482,116.5369,0.186,
149.524,118.7798,0.204,
149.6267,120.994,0.211,
149.4417,122.9519,0.223,
149.6588,124.8923,0.229,
149.5458,126.842,0.249,
149.6112,128.8842,0.259,
149.654,131.0445,0.266,
149.671,133.1139,0.285,
149.7299,135.5115,0.303,
149.5558,137.8513,0.305,
149.6844,139.9957,0.307,
149.8464,142.1355,0.318,
149.6776,144.2621,0.338,
149.7559,146.2934,0.345,
149.9424,148.4779,0.352,
149.9171,150.6644,0.372,
150.0766,152.8577,0.376,
149.9821,154.9629,0.392,
149.9724,156.9676,0.404,
149.9602,159.1093,0.413,
149.9821,161.2585,0.418,
150.0822,163.5154,0.429,
150.0885,165.604,0.45,
150.1608,167.6504,0.453,
150.0706,170.1096,0.463,
150.1163,172.2828,0.481,
150.0012,174.3428,0.486,
149.9732,176.4383,0.497,
150.0664,178.6458,0.507,
150.1147,180.7844,0.524,
150.0405,183.2966,0.537,
150.157,185.4829,0.543,
150.2143,187.739,0.559,
150.2968,189.8763,0.573,
150.4957,192.3722,0.574,
150.5925,194.5074,0.593,
150.3872,196.9711,0.602,
150.5655,199.117,0.608,
150.6532,201.3654,0.626,
150.7113,203.5338,0.636,
150.7808,205.8865,0.642,
150.7653,208.3982,0.652,
150.9046,210.7147,0.671,
151.0264,213.0278,0.678,
151.0105,215.4414,0.686,
150.9292,217.7033,0.704,
150.9962,219.8985,0.715,
150.8911,222.2981,0.723,
151.0307,224.4004,0.729,
151.0952,226.6807,0.749,
151.0502,228.9536,0.761,
151.2515,231.3473,0.766,
151.1475,233.6751,0.783,
151.3467,236.0838,0.795,
151.2915,238.304,0.798,
151.1425,240.6566,0.807,
150.9915,243.0045,0.818,
150.9897,245.2288,0.829,
151.1495,247.7374,0.841,
150.9482,249.9155,0.852,
151.0307,252.0764,0.87,
150.9169,254.4769,0.874,
151.1083,256.6383,0.894,
150.9451,259.0368,0.898,
150.7886,261.3505,0.912,
150.7638,263.5488,0.925,
150.6662,265.8251,0.931,
150.6931,268.3523,0.948,
150.7006,270.9524,0.952,
150.6977,273.3211,0.963,
150.6752,275.8118,0.979,
150.7084,278.0162,0.991,
150.6283,280.29,0.996,
150.8903,282.686,1.015,
150.6888,285.0679,1.019,
150.7482,287.2444,1.03,
150.6958,289.4938,1.041,
150.7811,291.9064,1.065,
150.7023,294.29,1.07,
150.4508,296.8691,1.074,
150.5491,299.3967,1.102,
150.6361,301.7857,1.107,
150.7147,304.0796,1.108,
150.7048,306.4833,1.118,
150.6246,308.7941,1.129,
150.6522,311.221,1.14,
150.5394,313.7325,1.17,
150.4008,316.156,1.171,
150.4327,318.4611,1.174,
150.3536,320.8263,1.185,
150.3547,323.0419,1.196,
150.3173,325.4805,1.207,
150.211,327.9759,1.227,
150.2371,330.3304,1.23,
150.2419,332.8509,1.241,
150.4745,335.3823,1.252,
150.399,337.7758,1.263,
150.3248,340.2675,1.287,
150.4463,342.7341,1.299,
150.4738,344.8584,1.3,
150.551,347.4188,1.307,
150.4512,349.8319,1.318,
150.4369,352.1862,1.33,
150.4994,354.2633,1.349,
150.3111,356.5262,1.355,
150.3132,358.8413,1.37,
150.1939,361.2472,1.374,
150.3147,363.7075,1.391,
150.2751,366.1208,1.407,
150.2916,368.3681,1.412,
150.2008,370.6425,1.439,
150.2883,372.9837,1.448,
150.4177,375.3221,1.449,
150.392,377.5987,1.452,
150.3648,380.0295,1.463,
150.3791,382.4214,1.474,
150.4272,385.0434,1.485,
150.5664,387.6094,1.496,
150.6898,389.9983,1.512,
150.6899,392.2908,1.518,
150.7581,394.5063,1.529,
150.8652,396.8185,1.548,
150.7075,399.0829,1.561,
150.7382,401.272,1.563,
150.7696,403.5221,1.574,
150.8739,405.8678,1.595,
150.8558,408.1456,1.598,
150.9663,410.2965,1.607,
151.0916,412.5584,1.641,
151.3241,414.7253,1.642,
151.4297,417.0637,1.643,
151.4203,419.2739,1.652,
151.4422,421.4924,1.663,
151.4242,423.6721,1.674,
151.5326,425.8877,1.702,
151.7105,427.9749,1.704,
151.8217,430.1719,1.707,
151.732,432.3161,1.734,
151.8078,434.4341,1.74,
151.9817,436.7044,1.741,
152.0517,438.707,1.752,
152.1605,440.8918,1.771,
152.3042,443.2913,1.781,
152.3408,445.438,1.785,
152.4244,447.7518,1.803,
152.4619,449.9114,1.813,
152.6075,452.0079,1.818,
152.636,454.1397,1.838,
152.7444,456.2107,1.842,
152.7216,458.3015,1.854,
152.7648,460.6146,1.863,
152.8603,462.8009,1.881,
152.9051,465.1595,1.893,
153.0099,467.1034,1.897,
152.7273,469.2753,1.915,
152.7721,471.5677,1.919,
152.7649,473.5967,1.933,
152.959,475.4652,1.941,
152.7621,477.7264,1.959,
152.8636,479.8874,1.965,
152.8011,482.0647,1.976,
152.9315,483.9861,2,
152.9603,486.1861,2.006,
152.9612,488.3579,2.008,
153.0551,490.749,2.018,
153.1801,492.8293,2.03,
153.2547,495.0799,2.041,
153.353,497.1361,2.067,
153.4405,499.1773,2.076,
153.3407,501.5349,2.077,
153.3939,503.7366,2.085,
153.5765,505.7273,2.112,
153.724,510.0014,2.121,
153.6914,512.2991,2.139,
153.7638,514.2397,2.143,
153.8258,516.3667,2.157,
153.8503,518.6455,2.163,
153.8077,520.91,2.174,
153.9778,522.958,2.185,
153.936,525.1931,2.201,
154.0869,527.3604,2.208,
