"x","z","t",
170.4037,71.1644,0,
170.6193,73.9594,0.013,
170.6063,76.7248,0.047,
170.7348,79.5157,0.062,
170.7218,82.2376,0.088,
170.7951,85.0107,0.121,
170.9604,87.8832,0.15,
170.9643,90.6959,0.176,
171.1031,93.3969,0.188,
171.0698,95.9109,0.223,
171.3054,98.8563,0.238,
171.3368,101.5282,0.266,
171.3692,104.3324,0.297,
171.4124,107.0038,0.326,
171.4828,109.7404,0.337,
171.4328,112.2507,0.373,
171.6606,115.1831,0.399,
171.7692,117.9088,0.412,
171.934,120.8107,0.446,
172.0498,123.5941,0.463,
172.239,126.0273,0.49,
172.2638,128.5325,0.525,
172.4107,131.372,0.537,
172.4811,134.2515,0.569,
172.6407,137.0109,0.602,
172.8573,139.8563,0.628,
172.8785,142.497,0.64,
173.005,145.1301,0.669,
173.0957,147.8369,0.688,
173.1404,150.2584,0.719,
173.1479,152.7528,0.751,
173.2318,155.6486,0.764,
173.3382,158.2544,0.795,
173.2931,160.6187,0.827,
173.2412,163.4175,0.837,
173.3891,165.8586,0.862,
173.3896,168.4063,0.891,
173.3844,171.0083,0.913,
173.3393,173.3162,0.95,
173.3958,175.8304,0.963,
173.4015,178.2054,0.999,
173.5043,180.817,1.03,
173.5943,183.4036,1.043,
173.538,185.6193,1.062,
173.6117,188.282,1.088,
173.8521,190.7642,1.123,
173.9489,193.3707,1.137,
174.0641,195.6641,1.167,
174.2076,198.2536,1.198,
174.2811,200.7368,1.226,
174.426,203.3487,1.237,
174.5131,205.63,1.272,
174.6535,208.2065,1.302,
174.7182,211.1139,1.314,
174.9977,213.5261,1.346,
175.1596,216.1745,1.362,
175.4159,218.5625,1.401,
175.4199,220.6533,1.415,
175.6069,222.96,1.437,
175.8469,225.7948,1.464,
175.9977,228.3821,1.496,
176.2494,230.641,1.527,
176.5632,233.2562,1.54,
176.6204,235.3933,1.575,
176.8365,238.1184,1.588,
176.9617,240.3649,1.621,
176.9579,242.6485,1.637,
177.2411,245.2567,1.673,
177.4082,247.4945,1.688,
177.6053,250.1829,1.728,
177.8153,252.2633,1.737,
177.8942,254.5356,1.771,
178.0596,257.3124,1.801,
178.3401,259.4595,1.812,
178.3381,262.0837,1.837,
178.4714,264.3771,1.873,
178.7225,266.3402,1.887,
178.6955,268.54,1.921,
179.0298,270.9195,1.952,
179.1749,273.3399,1.963,
179.3675,275.7205,1.987,
179.5044,278.0889,2.013,
179.7838,280.7661,2.049,
180.0122,283.0745,2.062,
180.1274,285.7265,2.093,
180.3883,288.3993,2.124,
180.5208,291.0514,2.138,
180.79,293.3279,2.175,
180.8225,296.2413,2.201,
181.0763,298.79,2.213,
181.3562,301.1448,2.248,
181.3238,303.9268,2.262,
181.5926,306.6101,2.294,
181.6612,308.7899,2.312,
181.7872,311.2195,2.337,
181.9617,313.4961,2.365,
181.9015,315.9215,2.393,
181.929,318.3963,2.427,
182.0675,320.8352,2.442,
182.1286,323.5132,2.479,
182.1954,325.7627,2.489,
182.1831,327.9213,2.517,
182.3378,330.4922,2.537,
182.3333,332.7414,2.577,
182.3549,335.1362,2.588,
182.3589,337.7584,2.612,
182.4423,340.1863,2.649,
182.469,342.4931,2.662,
182.541,345.2104,2.701,
182.4877,347.6409,2.712,
182.7153,349.8681,2.737,
182.629,352.2485,2.775,
182.7688,354.7336,2.799,
182.7097,357.1697,2.825,
182.7632,359.6382,2.842,
182.8768,361.8744,2.877,
182.8658,364.5729,2.888,
182.9077,366.9432,2.917,
182.8734,369.3101,2.949,
182.9277,371.9335,2.963,
183.0301,374.265,3,
182.9306,376.7941,3.025,
182.969,378.9851,3.051,
183.0774,381.8214,3.067,
183.1659,384.1044,3.101,
183.0753,386.6442,3.112,
183.0299,388.9402,3.144,
183.15,391.133,3.177,
183.0865,393.3022,3.187,
183.2094,395.8678,3.223,
183.2201,398.2471,3.249,
183.2426,400.6544,3.262,
183.3921,402.9762,3.29,
183.436,405.6244,3.325,
183.5682,408.0562,3.337,
183.5126,410.3878,3.372,
183.5325,412.9178,3.387,
183.6912,415.456,3.415,
183.7136,417.9457,3.448,
183.7579,420.3289,3.462,
183.8422,422.8594,3.494,
183.9443,425.1584,3.526,
183.9799,427.325,3.55,
184.2416,430.2753,3.564,
184.3665,432.4,3.603,
184.5309,434.87,3.612,
184.6667,437.3631,3.64,
184.9481,440.1148,3.663,
185.0173,442.8032,3.701,
185.1606,444.6065,3.712,
185.3379,447.0698,3.738,
185.5643,449.6255,3.773,
185.9104,452.2135,3.787,
186.0767,454.3614,3.817,
186.3623,456.8797,3.849,
186.527,459.3476,3.872,
186.8088,461.7987,3.887,
187.0692,464.1635,3.926,
187.2694,466.2808,3.952,
187.5209,468.6245,3.966,
187.7322,471.2119,4,
187.8968,473.3096,4.012,
188.0254,475.615,4.042,
188.3085,478.0392,4.074,
188.3086,480.3061,4.087,
188.5206,482.6714,4.12,
188.731,485.4376,4.152,
189.1144,488.2999,4.178,
189.1711,490.6491,4.189,
189.3747,493.0689,4.224,
189.4211,495.3206,4.237,
189.6069,497.8886,4.269,
189.8535,500.5088,4.305,
190.0499,502.7029,4.316,
190.1398,505.2053,4.346,
190.194,507.7897,4.362,
190.2833,510.0269,4.402,
190.5442,512.5109,4.416,
190.7819,515.0459,4.45,
190.8323,517.5432,4.462,
190.9689,519.5764,4.496,
191.125,522.1701,4.512,
191.2205,524.4808,4.54,
191.3446,526.9728,4.576,
191.3083,529.1839,4.587,
191.3742,531.5684,4.62,
191.4278,533.8412,4.651,
191.572,536.4086,4.677,
191.7028,538.9832,4.69,
191.7018,541.4842,4.726,
191.8044,543.9741,4.752,
191.788,546.6216,4.766,
191.9478,549.1305,4.798,
191.969,551.6947,4.812,
192.1199,554.0013,4.845,
192.0623,556.6364,4.865,
192.2694,559.1564,4.887,
192.3007,561.8366,4.925,
192.1995,564.1749,4.953,
192.329,566.609,4.964,
192.2925,568.7369,4.994,
192.2589,571.0489,5.013,
192.306,573.7106,5.051,
192.3385,576.0964,5.072,
192.4618,578.6489,5.09,
192.4634,581.199,5.112,
192.512,583.5474,5.148,
192.5474,586.0387,5.162,
192.7098,588.4147,5.201,
192.8516,590.8566,5.212,
192.9875,593.5508,5.246,
193.0013,596.1464,5.276,
193.2207,598.712,5.287,
193.3243,601.3157,5.326,
193.3955,603.7973,5.355,
193.5899,606.2943,5.362,
193.6553,609.0126,5.387,
193.8664,611.3908,5.422,
193.8695,613.6964,5.437,
194.037,616.0867,5.476,
194.2229,618.6293,5.492,
194.2902,621.0469,5.512,
194.4156,623.4383,5.546,
194.696,626.3065,5.562,
194.7321,628.9298,5.587,
194.9948,631.4172,5.619,
195.1686,633.8076,5.648,
195.2166,636.1738,5.663,
195.3338,638.5696,5.699,
195.5318,641.1512,5.712,
195.7344,643.5716,5.743,
195.8566,646.0013,5.774,
196.1299,648.7519,5.804,
196.2309,651.1664,5.813,
196.5059,653.574,5.847,
196.7243,656.2635,5.874,
196.9101,658.7651,5.891,
196.9806,661.0609,5.925,
197.1343,663.3781,5.938,
197.4223,665.9532,5.966,
197.574,668.5214,5.997,
197.8408,671.0265,6.012,
198.0476,673.1301,6.047,
198.3894,675.9764,6.07,
198.5279,678.299,6.099,
198.8529,680.8914,6.115,
