run ,run_particle,frame_rate [fps],particle_type
1,1,120,S_3
2,2,120,S_3
3,3,120,S_3
4,4,120,S_3
5,5,120,S_3
6,6,120,S_3
7,1,90,S_1.5
8,2,90,S_1.5
9,3,90,S_1.5
10,4,90,S_1.5
11,5,90,S_1.5
12,1,50,D_3
13,2,50,D_3
14,3,50,D_3
15,4,50,D_3
16,1,40,D_2.5
17,2,40,D_2.5
18,3,40,D_2.5
19,4,40,D_2.5
20,1,30,D_2
21,2,30,D_2
22,3,30,D_2
23,4,30,D_2
24,5,30,D_2
25,1,20,D_1.5
26,2,20,D_1.5
27,3,20,D_1.5
