"x","z","t",
137.9565,43.3337,0,
138.0044,44.9372,0.015,
138.0226,46.6792,0.046,
137.9227,48.4513,0.065,
138.1353,50.304,0.09,
138.111,52.2428,0.132,
138.221,54.0759,0.144,
138.2137,55.9641,0.165,
138.2959,57.7617,0.205,
138.2828,59.6791,0.215,
138.3893,61.5304,0.255,
138.4448,63.3103,0.279,
138.3576,65.197,0.293,
138.5337,66.9526,0.334,
138.5266,68.7784,0.34,
138.6026,70.6068,0.372,
138.4906,72.4825,0.391,
138.702,74.2579,0.428,
138.5667,76.1332,0.452,
138.5561,78.005,0.469,
138.6643,79.6988,0.503,
138.6849,81.5918,0.515,
138.7095,83.3229,0.54,
138.6648,85.3904,0.581,
138.793,87.1653,0.59,
138.9192,88.9723,0.628,
138.7888,90.6795,0.657,
138.859,92.6001,0.683,
138.9583,94.5045,0.694,
138.8835,96.2874,0.729,
138.9627,98.2668,0.741,
138.8436,100.0918,0.776,
139.0388,101.9748,0.79,
139.1439,103.8862,0.825,
139.1027,105.7878,0.855,
139.2659,107.5754,0.867,
139.1443,109.4494,0.902,
139.2072,111.2663,0.915,
139.3479,113.1992,0.946,
139.3681,114.9331,0.979,
139.3829,116.5468,0.99,
139.357,118.4031,1.025,
139.3974,120.1563,1.057,
139.4118,121.9852,1.082,
139.473,123.7853,1.093,
139.322,125.6365,1.129,
139.5134,127.4283,1.14,
139.4569,129.0855,1.171,
139.521,130.998,1.19,
139.4479,132.8916,1.215,
139.4526,134.7583,1.249,
139.4692,136.7255,1.265,
139.3269,138.5912,1.291,
139.4163,140.4315,1.33,
139.3261,142.1254,1.357,
139.3703,144.0012,1.365,
139.2817,145.8021,1.399,
139.325,147.6826,1.415,
139.2787,149.4645,1.44,
139.3411,151.4689,1.48,
139.2548,153.2487,1.49,
139.3385,155.1189,1.53,
139.2323,156.8869,1.541,
139.2698,158.5191,1.578,
139.4552,160.4204,1.59,
139.2741,162.1918,1.621,
139.3518,164.2495,1.651,
139.3248,166.0822,1.686,
139.436,168.0138,1.692,
139.5141,169.9451,1.729,
139.5893,171.7548,1.76,
139.5511,173.4839,1.766,
139.6486,175.2189,1.802,
139.5291,177.1443,1.815,
139.5066,179.0794,1.846,
139.5672,180.9032,1.873,
139.6267,182.7853,1.904,
139.6241,184.6674,1.915,
139.6554,186.5182,1.956,
139.6643,188.3039,1.981,
139.7379,190.2099,1.994,
139.7022,191.9532,2.034,
