"x","z","t",
89.5638,52.0464,0,
89.6635,53.7441,0.005,
89.7773,55.3803,0.016,
89.8367,57.2326,0.027,
90.0381,58.8435,0.038,
90.0957,60.4843,0.058,
90.2188,62.1386,0.061,
90.0469,63.9983,0.086,
90.1187,65.7574,0.097,
90.1132,67.2419,0.099,
90.0654,68.772,0.114,
90.1293,70.4069,0.127,
90.074,72.205,0.134,
90.2681,73.8141,0.138,
90.3359,75.5973,0.149,
90.3298,77.3281,0.16,
90.2474,79.2389,0.179,
90.0925,80.9589,0.191,
90.0633,82.6302,0.194,
90.1089,84.3158,0.213,
90.129,86.0557,0.217,
90.1294,87.7092,0.229,
90.1691,89.35,0.247,
90.0975,91.0335,0.25,
90.1639,92.4981,0.264,
90.2514,94.2514,0.271,
90.1994,95.782,0.292,
90.2582,97.415,0.297,
90.1547,98.9617,0.308,
90.1334,100.4773,0.325,
90.2164,102.0217,0.328,
90.1117,103.5826,0.344,
90.1855,105.3107,0.349,
90.2003,106.9873,0.36,
90.2141,108.6844,0.38,
90.263,110.4901,0.387,
90.184,112.1512,0.394,
90.2583,113.7282,0.413,
90.3068,115.5926,0.421,
90.4163,117.0589,0.443,
90.38,118.7663,0.457,
90.3391,120.3336,0.458,
90.2292,121.8531,0.46,
90.3998,123.6265,0.471,
90.3512,125.2364,0.49,
90.4034,126.9213,0.498,
90.3874,128.5826,0.505,
90.4807,130.2247,0.524,
90.5088,132.2404,0.535,
90.5607,133.8261,0.539,
90.5532,135.7172,0.549,
90.531,137.2243,0.569,
90.5518,138.7571,0.572,
90.4365,140.482,0.583,
90.4932,141.7297,0.604,
90.6293,143.4825,0.608,
90.6542,144.9625,0.616,
90.7225,146.7315,0.629,
90.7188,148.2958,0.647,
90.6749,149.952,0.65,
90.8052,151.4813,0.66,
90.8913,153.1421,0.685,
90.8416,154.7826,0.692,
90.8516,156.3183,0.694,
90.9253,158.1446,0.72,
90.9309,159.7602,0.724,
90.9036,161.477,0.727,
91.0195,163.1628,0.738,
91.0831,164.8087,0.749,
91.0273,166.4261,0.76,
91.0443,168.2604,0.78,
91.1721,169.6283,0.784,
91.1801,171.3779,0.794,
91.0004,173.2462,0.805,
91.2042,174.8888,0.824,
91.1469,176.4791,0.835,
91.1565,178.1536,0.838,
91.3209,179.9489,0.858,
91.4018,181.6337,0.862,
91.3275,183.2357,0.874,
91.5035,185.0916,0.883,
91.6584,186.5944,0.894,
91.5522,188.4125,0.905,
91.7236,189.9991,0.924,
91.715,193.3531,0.938,
91.827,195.1048,0.949,
91.8403,196.5541,0.96,
91.836,198.2696,0.98,
91.802,199.9987,0.983,
91.7873,201.6595,0.997,
92.0154,203.3456,1.016,
92.0914,205.1182,1.02,
92.2184,206.7257,1.029,
92.2675,208.3262,1.046,
92.2296,209.9808,1.05,
92.321,211.6259,1.066,
92.3826,213.2952,1.071,
92.3218,214.8751,1.091,
92.3932,216.5248,1.098,
92.4931,218.3828,1.109,
92.4098,220.0148,1.131,
92.6404,223.1483,1.146,
92.5863,224.8724,1.149,
92.5957,226.5319,1.16,
92.6369,228.1129,1.171,
92.8089,229.8558,1.191,
92.9049,231.5727,1.196,
92.9094,233.1923,1.207,
92.8826,234.9,1.216,
92.9771,236.6983,1.227,
93.003,238.024,1.238,
92.9567,239.5028,1.26,
93.0198,241.3332,1.262,
93.0351,243.0901,1.272,
93.0309,244.5086,1.292,
93.1144,246.2816,1.298,
93.1193,247.9317,1.305,
93.1328,249.8131,1.326,
93.1127,251.3858,1.33,
93.1668,253.0858,1.339,
93.2078,254.3881,1.362,
93.2388,256.1933,1.369,
93.328,257.726,1.373,
93.265,259.3836,1.383,
93.2449,260.9182,1.405,
93.3319,262.5281,1.416,
93.3268,264.0208,1.417,
93.4122,265.7738,1.436,
93.3568,267.2324,1.442,
93.3151,268.9337,1.451,
93.2994,270.537,1.46,
93.2723,272.265,1.48,
93.3591,274.0913,1.483,
93.4076,275.5605,1.497,
93.2455,277.1891,1.514,
93.4102,278.8333,1.519,
93.2278,280.5375,1.528,
93.4195,282.2563,1.538,
93.3044,283.8215,1.549,
93.4036,285.4785,1.56,
93.3938,287.2194,1.58,
93.4677,288.8622,1.584,
93.5367,290.6315,1.596,
93.6202,292.3802,1.619,
93.7066,293.8891,1.623,
93.7042,295.7082,1.627,
93.6425,297.4721,1.65,
93.7196,299.1097,1.656,
93.7378,300.8382,1.661,
93.8459,302.363,1.671,
93.7293,303.9267,1.686,
93.7703,305.379,1.697,
93.7563,307.0378,1.705,
93.6544,308.7111,1.724,
93.7552,310.1636,1.728,
93.5911,311.7966,1.739,
93.7087,313.3364,1.758,
93.4819,315.1445,1.765,
93.5874,316.7782,1.772,
93.4096,318.4333,1.783,
93.4715,320.1569,1.802,
93.4489,321.7931,1.807,
93.3819,323.474,1.816,
93.5073,325.0776,1.841,
93.2855,326.6223,1.844,
93.4089,328.2313,1.85,
93.4447,330.0426,1.869,
93.3636,331.6812,1.876,
93.4427,333.2529,1.885,
93.5353,334.7172,1.894,
93.2638,336.331,1.913,
93.3618,337.8594,1.916,
93.2313,339.5512,1.927,
93.3788,341.2774,1.95,
93.272,342.8342,1.964,
93.3283,344.4305,1.966,
93.3439,345.982,1.971,
93.3418,347.6711,1.991,
93.4148,349.2447,1.994,
93.2395,350.8691,2.009,
93.351,352.4111,2.028,
93.4386,354.0816,2.04,
93.2305,355.7437,2.041,
93.2624,357.5835,2.058,
93.227,358.9802,2.062,
93.1421,360.6525,2.076,
93.1563,362.526,2.083,
93.1359,363.9978,2.102,
93.0731,365.8138,2.107,
93.0579,367.4654,2.12,
93.0891,368.9642,2.136,
93.0619,370.7338,2.139,
93.1092,372.3102,2.154,
93.1705,375.5623,2.189,
93.0579,377.1733,2.19,
93.0849,378.971,2.194,
93.077,380.4634,2.205,
93.0906,382.1497,2.216,
92.9896,383.8171,2.236,
93.0642,385.3858,2.239,
93.0604,386.9171,2.249,
93.0799,388.5399,2.26,
92.938,389.8816,2.28,
93.021,391.6469,2.287,
93.0393,393.1483,2.294,
92.9838,394.7233,2.312,
93.0095,396.2952,2.323,
92.9739,397.7667,2.33,
92.9926,399.461,2.347,
93.1141,401.1915,2.354,
92.9944,402.6376,2.361,
93.1405,404.4699,2.371,
93.1009,406.2148,2.383,
93.2251,407.8091,2.402,
93.3228,409.599,2.406,
93.3396,411.1777,2.429,
93.297,412.6029,2.444,
93.3181,414.1754,2.445,
93.3167,415.7123,2.458,
93.4151,417.3002,2.465,
93.3487,418.9355,2.478,
