"x","z","t",
120.8584,52.4706,0,
120.9429,54.5122,0.032,
121.0115,56.7177,0.065,
121.0409,58.9841,0.117,
121.171,61.1639,0.137,
121.0336,63.0842,0.165,
121.1535,65.2952,0.207,
121.2361,67.1857,0.244,
121.204,69.2601,0.28,
121.315,71.2248,0.298,
121.3072,73.2977,0.331,
121.401,75.3328,0.367,
121.4341,77.6421,0.398,
121.5835,79.8627,0.432,
121.5808,82.2005,0.483,
121.6465,84.1978,0.513,
121.8135,86.4412,0.531,
121.7801,88.4982,0.572,
121.9959,90.7648,0.598,
122.1318,92.7555,0.641,
122.2132,94.892,0.682,
122.2232,97.1468,0.714,
122.247,99.1485,0.731,
122.3931,101.3538,0.766,
122.269,103.552,0.798,
122.3803,105.8432,0.834,
122.2731,108.0258,0.876,
122.1855,110.2509,0.913,
122.1997,112.3444,0.949,
122.1168,114.5363,0.983,
122.1055,116.6855,1.016,
122.2048,118.7985,1.031,
122.1927,120.7887,1.07,
122.1767,122.8975,1.104,
122.1594,125.1017,1.137,
122.1547,127.3987,1.18,
122.2663,129.7638,1.217,
122.1549,132.0571,1.231,
122.252,134.2999,1.265,
122.073,136.3257,1.298,
122.0671,138.4083,1.332,
122.1067,140.4892,1.375,
122.1035,142.3617,1.412,
122.0126,144.5611,1.453,
122.0613,146.8609,1.477,
122.1203,148.8346,1.516,
122.0763,150.9376,1.531,
122.1507,153.2599,1.565,
122.0139,155.2518,1.599,
122.0694,157.6162,1.631,
122.0604,159.6868,1.665,
121.9807,161.7115,1.698,
122.0936,163.9979,1.733,
122.0872,166.3263,1.775,
122.1281,168.5179,1.807,
122.1601,170.804,1.843,
122.1764,173.2041,1.865,
122.2256,175.6472,1.903,
122.362,177.9675,1.942,
122.3626,180.1412,1.979,
122.3181,182.3572,2.014,
122.3304,184.4884,2.048,
122.2789,186.6955,2.065,
122.2963,188.7445,2.098,
122.2864,190.9708,2.133,
122.4908,193.3049,2.175,
122.4389,195.5753,2.207,
122.6257,197.9063,2.244,
122.5817,200.2707,2.283,
122.5522,202.2959,2.32,
122.6068,204.7576,2.331,
122.5405,206.9849,2.365,
122.5845,209.1192,2.416,
122.6202,211.4431,2.432,
122.5691,213.4614,2.47,
122.5159,215.8825,2.498,
122.5557,217.8372,2.535,
122.5997,219.8839,2.579,
122.7454,222.1896,2.611,
122.6992,224.3359,2.648,
122.6723,226.4126,2.665,
122.7133,228.7751,2.715,
122.7866,230.9209,2.752,
122.7412,233.0165,2.765,
122.807,235.251,2.806,
122.9519,237.4793,2.842,
122.7687,239.6774,2.881,
122.8021,242.1495,2.916,
122.9006,244.2749,2.95,
122.988,246.6927,2.965,
123.0048,248.9996,2.998,
122.9124,251.1357,3.031,
122.8661,253.2511,3.066,
122.8816,255.3818,3.109,
122.9503,257.6276,3.147,
122.9329,259.6587,3.185,
123.0388,261.956,3.217,
123.1617,264.098,3.248,
123.2255,266.3236,3.265,
123.3168,268.3258,3.304,
123.3009,270.3554,3.337,
123.286,272.4572,3.371,
123.3343,274.7119,3.398,
123.2837,276.8607,3.431,
123.3178,279.2466,3.468,
123.3988,281.4532,3.511,
123.3,283.6839,3.547,
123.4583,286.1276,3.582,
123.2692,288.2072,3.615,
123.3027,290.5004,3.631,
123.2542,292.6898,3.665,
123.1665,295.0481,3.703,
123.2995,297.1781,3.732,
123.1041,299.4646,3.774,
123.1885,301.6473,3.812,
123.088,303.4085,3.851,
123.1853,305.7415,3.885,
123.1775,308.1227,3.898,
123.2605,310.4139,3.931,
123.2766,312.5066,3.967,
123.3807,314.6753,4.009,
123.3183,317.0282,4.034,
123.3939,319.0404,4.078,
123.3947,321.0164,4.098,
123.5096,323.3327,4.15,
123.516,325.2901,4.165,
123.5384,327.5592,4.21,
123.6144,329.9662,4.249,
123.5583,332.0055,4.285,
123.429,334.144,4.298,
123.4227,336.2443,4.333,
123.2949,338.226,4.37,
123.4081,340.7166,4.413,
123.3742,343.1887,4.447,
123.5129,345.2962,4.481,
123.5232,347.5161,4.498,
123.3669,350.0449,4.55,
123.2394,352.6294,4.565,
123.2555,354.8124,4.607,
123.2591,357.0766,4.637,
123.2201,359.0884,4.674,
123.261,361.125,4.717,
123.2939,363.244,4.743,
123.0843,365.3018,4.785,
123.1016,367.3552,4.798,
123.0896,369.1901,4.831,
123.1394,371.353,4.867,
123.1832,373.493,4.909,
123.1972,375.7523,4.941,
123.3014,378.063,4.978,
123.1822,380.1152,4.998,
123.3895,382.1769,5.037,
123.3498,384.2687,5.065,
123.3328,386.4709,5.098,
123.4109,388.6794,5.134,
123.249,390.6574,5.166,
123.1979,392.7801,5.202,
123.3206,394.6922,5.246,
123.1364,396.7974,5.265,
123.1559,398.685,5.298,
123.2695,400.695,5.349,
123.1314,402.6971,5.382,
123.0285,404.9879,5.398,
122.9498,407.1292,5.439,
122.8469,409.3143,5.475,
122.871,411.7113,5.51,
123.0541,414.0868,5.549,
123.0969,416.678,5.584,
123.1141,419.1389,5.598,
123.2177,421.3026,5.632,
123.1642,423.5616,5.665,
123.1095,425.491,5.703,
123.1361,427.6193,5.731,
123.1027,429.6734,5.782,
123.1404,431.7852,5.798,
123.0602,433.713,5.843,
123.0729,435.7671,5.865,
123.0461,437.869,5.912,
123.0983,439.9505,5.948,
123.1123,442.0545,5.981,
123.123,443.9319,5.998,
123.1204,446.3921,6.042,
123.052,448.5038,6.081,
123.0628,450.7461,6.113,
122.9117,452.872,6.131,
122.9789,454.9554,6.167,
122.8351,457.2279,6.203,
122.9628,459.5276,6.246,
122.9758,461.602,6.28,
122.9119,463.905,6.315,
122.8603,465.8964,6.331,
122.6426,468.3215,6.368,
122.3904,470.6175,6.398,
122.3626,472.7039,6.439,
122.2662,474.9932,6.475,
122.2618,477.1005,6.51,
122.3146,479.2037,6.55,
122.2177,481.5947,6.584,
122.1864,483.6904,6.616,
122.2427,485.8622,6.631,
122.2984,488.2144,6.667,
122.4122,490.5574,6.699,
122.3433,492.9308,6.736,
122.473,494.9448,6.779,
122.4114,496.9834,6.816,
122.3942,498.8599,6.831,
122.5143,501.2383,6.865,
122.3737,503.2636,6.899,
122.4289,505.5262,6.941,
122.4037,507.5779,6.973,
122.3137,509.8626,7.01,
122.4396,512.0591,7.048,
122.2972,514.2005,7.083,
122.1463,516.4172,7.117,
122.2399,518.6307,7.131,
122.2626,520.6135,7.175,
122.1924,522.8126,7.215,
122.21,525.0575,7.231,
122.1722,527.1544,7.265,
122.0731,529.4271,7.299,
122.0564,531.4514,7.333,
122.0643,533.7551,7.365,
122.0725,535.8908,7.4,
122.156,538.3395,7.448,
122.1256,540.372,7.464,
122.1043,542.6948,7.51,
122.2027,544.9541,7.546,
122.1638,547.0478,7.58,
122.213,549.2354,7.598,
122.1969,551.2618,7.635,
122.2725,553.3715,7.665,
122.3671,555.6955,7.715,
122.3079,557.8286,7.731,
122.3724,560.1954,7.765,
122.4342,562.4837,7.798,
122.4174,564.6712,7.832,
122.4009,566.8014,7.874,
122.4362,568.8964,7.909,
122.3479,571.1817,7.943,
122.404,573.3083,7.979,
122.4207,575.5303,8.02,
122.3755,577.8277,8.031,
122.4219,580.0839,8.075,
122.3102,582.0505,8.098,
122.35,584.2629,8.148,
122.3318,586.4379,8.18,
122.1968,588.4799,8.216,
122.301,590.699,8.231,
122.3428,592.8412,8.264,
122.4052,594.8167,8.298,
122.4195,596.9372,8.342,
122.3681,599.2885,8.374,
122.3534,601.3837,8.406,
122.4555,603.8012,8.442,
122.4538,605.7238,8.481,
122.4608,607.9418,8.514,
122.509,609.92,8.531,
122.7025,612.3146,8.566,
122.6512,614.7973,8.598,
122.6565,616.9146,8.631,
122.8225,618.9384,8.665,
122.8991,621.1477,8.698,
122.8703,623.4108,8.732,
122.9045,625.7148,8.774,
122.9613,627.8763,8.806,
123.0185,629.8276,8.843,
122.978,632.2097,8.878,
123.1252,634.3549,8.917,
123.1363,636.5847,8.931,
123.1013,639.1209,8.965,
123.124,641.2362,8.999,
123.1238,643.5407,9.036,
123.041,645.4506,9.078,
123.0342,647.6048,9.112,
122.9763,649.7357,9.147,
122.98,651.7888,9.176,
122.9992,654.0276,9.215,
123.0092,656.1996,9.231,
122.9937,658.2711,9.27,
123.1061,660.3958,9.302,
123.0008,662.3971,9.339,
123.0412,664.638,9.364,
122.9,666.8076,9.399,
123.0814,669.0422,9.443,
122.9894,671.2837,9.479,
122.9882,673.2794,9.512,
123.102,675.3664,9.548,
122.9675,677.9408,9.565,
123.0407,679.9929,9.608,
122.8068,682.2158,9.631,
122.9325,684.3178,9.672,
122.8392,686.4486,9.698,
122.7406,688.7531,9.74,
122.7857,690.7232,9.781,
122.8586,693.1062,9.815,
122.7636,695.4103,9.831,
122.7896,697.4937,9.881,
122.6604,699.7237,9.898,
122.7636,701.7993,9.948,
122.7788,703.9841,9.964,
122.7187,706.0627,10.01,
122.7042,708.0388,10.048,
122.705,710.113,10.064,
122.8476,712.2498,10.104,
122.8217,714.5529,10.148,
122.8823,716.6003,10.165,
122.8444,718.6387,10.201,
122.8303,720.5683,10.233,
122.8701,722.4877,10.264,
122.7514,724.6462,10.298,
122.864,726.7288,10.331,
122.8749,728.9203,10.365,
122.9937,730.9971,10.398,
123.0351,733.142,10.431,
123.1027,735.4933,10.465,
123.0149,737.7345,10.507,
123.2872,740.0208,10.543,
123.379,742.0385,10.583,
