"x","z","t",
135.7407,82.2682,0,
135.8106,84.2443,0.02,
135.7206,86.2997,0.055,
135.687,88.2338,0.072,
135.8121,90.2303,0.08,
135.6835,92.2348,0.112,
135.6594,94.1767,0.119,
135.6269,96.1093,0.139,
135.6673,98.1059,0.159,
135.6374,99.9795,0.205,
135.6974,102.112,0.207,
135.6895,103.9667,0.24,
135.8127,106.0771,0.251,
135.8535,108.0193,0.275,
135.8269,109.9199,0.286,
135.7791,111.9345,0.315,
135.7007,113.7517,0.323,
135.7507,115.874,0.339,
135.6686,117.7607,0.368,
135.7447,119.9116,0.395,
135.6121,121.8188,0.401,
135.7529,123.8807,0.435,
135.6573,125.869,0.439,
135.6496,127.9121,0.459,
135.7667,129.663,0.495,
135.7323,131.7258,0.5,
135.6641,133.5702,0.533,
135.5541,135.4847,0.54,
135.6237,137.3301,0.574,
135.5208,139.1911,0.58,
135.4921,141.0952,0.612,
135.5521,143.0064,0.619,
135.5901,144.9513,0.656,
135.6578,146.9639,0.659,
135.6092,148.9503,0.688,
135.5979,150.737,0.715,
135.5514,152.6749,0.725,
135.5217,154.5579,0.739,
135.6854,156.4828,0.768,
135.6119,158.2909,0.797,
135.6527,160.0824,0.801,
135.7017,162.1069,0.835,
135.5933,164.042,0.84,
135.5535,165.8742,0.875,
135.5502,167.7836,0.881,
135.634,169.6567,0.908,
135.6061,171.653,0.921,
135.6592,173.5316,0.945,
135.789,175.4675,0.96,
135.7393,177.4184,0.98,
135.7428,179.3502,1.001,
135.8246,181.297,1.04,
135.8106,183.0679,1.045,
135.7669,185.0874,1.06,
135.7431,187.0327,1.09,
135.8465,188.868,1.118,
135.7677,190.7206,1.126,
135.8088,192.5191,1.158,
135.7653,194.5944,1.162,
135.7235,196.629,1.195,
135.8475,198.6942,1.204,
135.7701,200.6655,1.227,
136.0167,202.6242,1.242,
135.9693,204.6635,1.275,
135.9498,206.4006,1.285,
135.9657,208.2337,1.309,
136.0502,210.1432,1.321,
135.9847,212.0155,1.354,
135.965,213.8966,1.359,
136.0146,215.7355,1.391,
136.0323,217.6888,1.399,
136.0513,219.4467,1.42,
136.1158,221.4343,1.451,
136.1016,222.9555,1.459,
136.0195,224.9327,1.492,
136.0385,227.0196,1.499,
135.9815,228.8837,1.532,
136.0434,230.9746,1.539,
136.1501,232.7793,1.559,
136.0081,234.626,1.592,
136.0508,236.5597,1.602,
136.1391,238.4352,1.619,
136.1951,240.4877,1.655,
136.2665,242.4941,1.66,
136.3828,244.4521,1.68,
136.4987,246.2905,1.711,
136.5202,248.3388,1.72,
136.4605,250.1972,1.755,
136.7118,252.1047,1.759,
136.5548,253.9292,1.793,
136.6303,255.7903,1.8,
136.697,257.7271,1.836,
136.736,259.6991,1.84,
136.7539,261.8515,1.86,
136.7559,263.6562,1.887,
136.8683,265.5174,1.899,
136.7218,267.3312,1.927,
136.9104,269.1832,1.962,
136.8057,271.0046,1.965,
136.9517,272.9225,1.98,
137.1245,274.9571,2.009,
137.065,276.7133,2.039,
137.1122,278.7411,2.047,
137.2626,280.7534,2.06,
137.3462,282.7084,2.089,
137.4166,284.6104,2.12,
137.2885,286.5488,2.123,
137.4513,288.4367,2.155,
137.3408,290.4111,2.16,
137.3603,292.3603,2.18,
137.5692,294.3472,2.215,
137.4971,296.4787,2.22,
137.4731,298.5345,2.24,
137.5265,300.3109,2.275,
137.5152,302.1759,2.282,
137.5039,304.0255,2.299,
137.6321,305.9496,2.338,
137.5494,307.8306,2.35,
137.5277,309.6772,2.36,
137.4584,311.3025,2.393,
137.6692,313.3287,2.418,
137.6439,315.0022,2.426,
137.5809,317.0981,2.44,
137.6802,318.9447,2.46,
137.5668,320.7948,2.49,
137.6151,322.5699,2.518,
137.6766,324.6467,2.524,
137.7797,326.528,2.555,
137.8188,328.5062,2.561,
137.8554,330.4694,2.595,
138.0022,332.3208,2.604,
138.114,334.2134,2.635,
138.116,336.1386,2.64,
138.1588,338.2275,2.672,
138.238,339.9877,2.68,
138.2931,341.7748,2.711,
138.3127,343.8213,2.72,
138.4541,345.6375,2.753,
138.4285,347.6041,2.759,
138.4839,349.5666,2.795,
138.4192,351.378,2.8,
138.5141,353.2025,2.83,
138.4666,354.9905,2.859,
138.5874,356.903,2.864,
138.5386,358.7554,2.88,
138.5971,360.5185,2.911,
138.6395,362.4299,2.932,
138.7107,364.2102,2.946,
138.6467,365.9546,2.979,
138.7654,367.629,2.981,
138.8291,369.3774,3,
138.9123,371.1693,3.038,
138.8513,373.0742,3.04,
138.9786,374.8535,3.06,
138.9667,376.6912,3.081,
139.0542,378.4952,3.112,
138.9284,380.31,3.121,
139.099,381.9526,3.154,
139.1542,383.7535,3.179,
139.1595,385.4745,3.189,
139.1731,387.2332,3.199,
139.34,389.0588,3.219,
139.3342,390.9435,3.247,
139.3846,392.6442,3.259,
139.4325,394.5649,3.28,
139.5533,396.306,3.312,
139.6249,398.1852,3.32,
139.7108,400.0029,3.34,
