"x","z","t",
89.426,160.1514,0,
89.3663,161.9698,0.007,
89.5029,163.7131,0.014,
89.5041,165.6496,0.033,
89.3197,167.7044,0.045,
89.1774,169.8325,0.056,
89.2588,171.9752,0.059,
89.4146,173.8946,0.07,
89.395,175.7383,0.081,
89.5827,177.993,0.092,
89.6361,180.1058,0.105,
89.8195,182.307,0.115,
89.9011,183.9808,0.134,
90.2862,186.1731,0.138,
90.167,188.1348,0.156,
90.379,189.8665,0.16,
90.1708,191.705,0.182,
90.2666,193.5176,0.193,
90.168,195.1998,0.194,
90.129,196.9873,0.217,
90.2974,198.8518,0.23,
90.3472,200.6359,0.231,
90.1618,202.4614,0.237,
90.2682,204.4816,0.256,
90.6448,206.6847,0.263,
90.5608,208.6122,0.272,
90.7578,210.4719,0.29,
91.1193,212.4267,0.301,
90.9891,214.3769,0.31,
91.0272,216.5299,0.315,
91.0757,218.3857,0.325,
91.117,220.1986,0.337,
90.9255,222.1535,0.356,
91.0232,223.9333,0.364,
90.974,226.042,0.377,
91.0307,227.9608,0.381,
91.2582,229.9472,0.392,
91.4754,231.7799,0.412,
91.5786,233.6189,0.417,
91.3826,235.5238,0.426,
91.4974,237.455,0.437,
91.5626,239.1747,0.456,
91.4944,241.0205,0.46,
91.4623,243.2236,0.47,
91.5838,245.0469,0.49,
91.6806,246.9165,0.501,
91.5754,248.7138,0.504,
91.5572,250.5201,0.515,
91.7236,252.3222,0.526,
91.6589,253.9517,0.537,
91.607,255.9797,0.548,
91.4509,257.7936,0.571,
91.5833,262.3576,0.581,
91.7569,264.3125,0.601,
91.7419,266.532,0.609,
91.8994,268.3604,0.618,
91.8748,270.3449,0.626,
91.7348,272.2121,0.65,
92.0705,274.0151,0.655,
92.0486,275.7756,0.664,
92.1093,277.8766,0.679,
92.1314,279.6048,0.694,
92.0677,281.7337,0.696,
92.1616,283.4471,0.712,
92.1388,285.357,0.718,
92.1641,287.2002,0.73,
92.1887,289.2784,0.737,
92.0159,291.1356,0.757,
92.1029,292.8163,0.759,
92.0533,294.8309,0.775,
92.0553,296.6489,0.791,
92.0256,298.6564,0.795,
92.0686,300.4011,0.811,
92.1274,302.4659,0.815,
92.1641,304.2903,0.825,
92.0947,306.4505,0.837,
92.0328,308.4875,0.86,
91.8372,310.9676,0.864,
91.6861,312.7823,0.87,
91.7975,314.6953,0.881,
91.9224,316.3602,0.892,
91.7018,318.4501,0.904,
91.8,320.1439,0.928,
91.7963,322.2121,0.932,
91.9271,324.1408,0.94,
91.8521,325.9374,0.948,
91.9583,327.9402,0.968,
91.8848,329.9596,0.979,
91.8491,332.1757,0.982,
91.8816,334.3202,1.002,
91.781,336.1239,1.005,
91.953,338.3113,1.015,
91.7202,340.337,1.026,
91.7674,342.0804,1.037,
91.7048,344.1276,1.057,
91.6054,346.1376,1.06,
91.5239,347.9418,1.079,
91.4472,350.106,1.082,
91.47,351.896,1.096,
91.6616,353.8516,1.112,
91.7231,355.7235,1.116,
91.7169,357.4783,1.133,
91.6398,359.4181,1.137,
91.5153,361.206,1.148,
91.7384,363.244,1.168,
91.8039,365.1855,1.171,
91.8541,367.06,1.187,
91.9804,369.2086,1.199,
92.021,371.3774,1.208,
92.2574,373.129,1.223,
92.1609,375.0019,1.234,
92.2217,376.9615,1.244,
92.4202,379.0955,1.248,
92.5085,381.2169,1.259,
92.4329,383.1082,1.27,
92.4808,385.1583,1.281,
92.4681,387.0923,1.292,
92.5435,389.2625,1.313,
92.8649,391.3209,1.324,
92.9941,393.2828,1.326,
93.0241,395.3243,1.337,
93.2378,397.2904,1.356,
93.2472,399.1963,1.363,
93.2157,401.0573,1.37,
93.243,402.9971,1.39,
93.2565,405.0313,1.395,
93.2847,406.9918,1.403,
93.4503,408.8219,1.42,
93.2463,411.0893,1.433,
