run ,run_particle,frame_rate [fps],particle_type
1,1,140,S_3
2,2,140,S_3
3,3,140,S_3
4,4,140,S_3
5,5,140,S_3
6,1,80,S_1.5
7,2,50,S_1.5
8,3,50,S_1.5
9,4,50,S_1.5
10,5,50,S_1.5
11,1,30,D_3
12,2,25,D_3
13,3,25,D_3
14,4,25,D_3
15,5,25,D_3
16,1,18,D_2.5
17,2,18,D_2.5
18,3,18,D_2.5
19,4,18,D_2.5
20,1,15,D_2
21,2,15,D_2
22,3,15,D_2
23,4,15,D_2
24,5,15,D_2
25,1,10,D_1.5
26,2,10,D_1.5
27,3,10,D_1.5
