Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.3434,3.662e-06,0.0009183
0.3875,4.879e-06,0.001067
0.4374,6.263e-06,0.001233
0.4937,7.848e-06,0.001416
0.5573,9.687e-06,0.001612
0.629,1.183e-05,0.001816
0.7099,1.442e-05,0.002033
0.8013,1.774e-05,0.002273
0.9044,2.205e-05,0.002543
1.021,2.744e-05,0.002852
1.152,3.449e-05,0.003203
1.301,4.282e-05,0.003598
1.468,5.327e-05,0.004045
1.657,6.751e-05,0.004556
1.87,8.8e-05,0.005149
2.111,0.0001176,0.005845
2.382,0.0001569,0.006649
2.689,0.0002065,0.007564
3.035,0.000266,0.00859
3.426,0.0003366,0.009733
3.867,0.0004249,0.01101
4.364,0.0005405,0.01246
4.926,0.0006916,0.01411
5.56,0.0008867,0.01597
6.275,0.001139,0.0181
7.083,0.001457,0.02051
7.995,0.001868,0.02326
9.024,0.002386,0.02638
10.18,0.003043,0.02994
11.5,0.003867,0.03398
12.98,0.004891,0.03857
14.65,0.006169,0.04378
16.53,0.007749,0.04966
18.66,0.009716,0.0563
21.06,0.01221,0.06376
23.77,0.01537,0.07213
26.83,0.01949,0.08148
30.28,0.02478,0.09191
34.18,0.03178,0.1034
38.58,0.04091,0.1161
43.54,0.05281,0.13
49.15,0.0684,0.1449
55.47,0.08809,0.161
62.61,0.1132,0.1779
70.67,0.1439,0.1959
79.76,0.1809,0.2145
90.03,0.224,0.2338
101.6,0.2721,0.253
114.7,0.3227,0.272
129.5,0.3798,0.2934
