Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,1.74
7.94,0,0.913
6.31,0,0.562
5.01,0.14,0.467
3.98,0.238,0.382
3.16,0.277,0.342
2.51,0.278,0.308
2,0.267,0.285
1.58,0.261,0.296
1.26,0.252,0.217
1,0.207,0.216
0.794,0.189,0.191
0.631,0.174,0.168
0.501,0.155,0.155
0.398,0.135,0.14
0.316,0.117,0.126
0.251,0.103,0.113
0.2,0.0892,0.101
0.158,0.0764,0.0902
0.126,0.0651,0.0805
0.1,0.0552,0.071
0.0794,0.0464,0.0627
0.0631,0.0385,0.0554
0.0501,0.0317,0.0485
0.0398,0.0256,0.0421
0.0316,0.0203,0.0366
0.0251,0.0159,0.0314
0.02,0.0122,0.0268
0.0158,0.00897,0.0228
0.0126,0.00663,0.0191
0.01,0.0047,0.0158
