Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.00168,1.794e-07,0.000713
0.00211,4.129e-07,0.0007483
0.00265,6.965e-07,0.0007919
0.003329,1.02e-06,0.0008439
0.004182,1.339e-06,0.0009023
0.005253,1.534e-06,0.0009588
0.006598,1.313e-06,0.0009924
0.008288,3.402e-08,0.0009535
0.01041,2.396e-06,0.000838
0.01308,5.396e-06,0.0006965
0.01643,9.137e-06,0.0005201
0.02063,1.379e-05,0.0003006
0.02592,1.957e-05,2.827e-05
0.03256,2.671e-05,0.0003086
0.04089,3.552e-05,0.0007235
0.05137,4.631e-05,0.001232
0.06452,5.944e-05,0.00185
0.08105,7.527e-05,0.002596
0.1018,9.415e-05,0.003485
0.1279,0.0001163,0.004525
0.1606,0.0001417,0.005718
0.2018,0.0001699,0.00704
0.2534,0.0001997,0.008437
0.3184,0.0002289,0.009798
0.3999,0.0002535,0.01093
0.5023,0.0002673,0.01155
0.6309,0.0002616,0.01124
0.7925,0.0002259,0.009507
0.9955,0.0001511,0.005942
1.25,4.074e-05,0.0007428
1.571,4.929e-05,0.003378
1.973,8.009e-05,0.004473
2.478,0.0001368,0.005849
3.113,0.0002347,0.007531
3.91,0.0003854,0.009602
4.912,0.0006079,0.01212
6.17,0.0009407,0.01522
7.75,0.001472,0.01914
9.735,0.002336,0.02418
12.23,0.00368,0.03068
15.36,0.005727,0.03898
19.29,0.008842,0.04951
24.23,0.01369,0.0627
30.44,0.02157,0.07898
38.24,0.0347,0.09869
48.03,0.05643,0.122
60.33,0.09115,0.1487
75.78,0.1425,0.1782
95.19,0.2101,0.2092
119.6,0.289,0.2417
