Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,1.39
7.94,0,1.2
6.31,0,0.566
5.01,0,0.402
3.98,0.116,0.34
3.16,0.198,0.289
2.51,0.194,0.275
2,0.187,0.229
1.58,0.187,0.215
1.26,0.168,0.199
1,0.156,0.176
0.794,0.147,0.158
0.631,0.131,0.142
0.501,0.116,0.129
0.398,0.101,0.115
0.316,0.0893,0.103
0.251,0.0768,0.0916
0.2,0.0653,0.081
0.158,0.0552,0.0717
0.126,0.0465,0.0632
0.1,0.0386,0.0554
0.0794,0.0317,0.0487
0.0631,0.0256,0.0423
0.0501,0.0204,0.0366
0.0398,0.016,0.0316
0.0316,0.0123,0.027
0.0251,0.00929,0.0229
0.02,0.00693,0.0193
0.0158,0.00515,0.0162
0.0126,0.0038,0.0135
0.01,0.00291,0.0111
