Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,1.62,1.27
7.94,0,1.21
6.31,0,0.541
5.01,0.0457,0.422
3.98,0.135,0.36
3.16,0.2,0.31
2.51,0.195,0.296
2,0.24,0.239
1.58,0.214,0.232
1.26,0.2,0.209
1,0.181,0.197
0.794,0.169,0.174
0.631,0.153,0.157
0.501,0.135,0.143
0.398,0.119,0.128
0.316,0.102,0.115
0.251,0.0894,0.102
0.2,0.0765,0.0914
0.158,0.0652,0.0812
0.126,0.0554,0.0719
0.1,0.0464,0.0634
0.0794,0.0384,0.0557
0.0631,0.0319,0.0489
0.0501,0.0258,0.0427
0.0398,0.0207,0.0371
0.0316,0.0164,0.032
0.0251,0.0128,0.0275
0.02,0.00984,0.0235
0.0158,0.0073,0.0199
0.0126,0.0053,0.0167
0.01,0.00375,0.0139
