Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.001022,7.062e-08,0.0007409
0.001302,6.573e-08,0.0007326
0.001658,5.95e-08,0.0007221
0.002111,5.157e-08,0.0007087
0.002687,4.148e-08,0.0006917
0.003422,2.863e-08,0.00067
0.004357,1.229e-08,0.0006424
0.005548,8.495e-09,0.0006073
0.007065,3.49e-08,0.0005626
0.008996,6.838e-08,0.0005059
0.01145,1.107e-07,0.0004339
0.01459,1.641e-07,0.0003428
0.01857,2.307e-07,0.0002281
0.02365,3.143e-07,8.505e-05
0.03011,4.184e-07,9.196e-05
0.03834,5.463e-07,0.0003093
0.04882,7.017e-07,0.0005733
0.06217,8.874e-07,0.0008891
0.07916,1.104e-06,0.001259
0.1008,1.347e-06,0.001679
0.1283,1.604e-06,0.002135
0.1634,1.844e-06,0.002593
0.2081,2.008e-06,0.002994
0.265,1.982e-06,0.003236
0.3374,1.561e-06,0.003168
0.4296,3.825e-07,0.002594
0.547,2.192e-06,0.001325
0.6966,7.276e-06,0.0006439
0.887,1.619e-05,0.002024
1.129,3.173e-05,0.002789
1.438,5.743e-05,0.003814
1.831,9.297e-05,0.004966
2.332,0.0001484,0.006313
2.969,0.0002392,0.007986
3.78,0.0003863,0.01009
4.814,0.0006204,0.01277
6.13,0.001005,0.01623
7.805,0.001637,0.02077
9.938,0.002646,0.0267
12.65,0.00425,0.03446
16.11,0.006778,0.04455
20.52,0.01078,0.05753
26.13,0.0172,0.07394
33.27,0.02785,0.09427
42.36,0.04599,0.1188
53.94,0.07665,0.1476
68.68,0.1263,0.1803
87.45,0.2006,0.2162
111.4,0.299,0.2535
141.8,0.4152,0.2928
